,0,1
0,'000108,'201900163
1,'000115,'201900163
2,'000122,'201900163
3,'000139,'201900173
4,'000146,'201900173
5,'000153,'201900173
6,'000160,'201900173
7,'000177,'201900173
8,'000184,'201900173
9,'000191,'201900173
10,'000207,'201900173
11,'000214,'201900173
12,'000221,'201900173
13,'000238,'201900173
14,'000245,'201900173
15,'000252,'201900245
16,'000269,'201900245
17,'000276,'201900245
18,'000283,'201900245
19,'000290,'201900245
20,'000306,'201900245
21,'000313,'201900245
22,'000320,'201900245
23,'000337,'201900245
24,'000344,'201900245
25,'000351,'201900245
26,'000368,'201900245
27,'000375,'201900246
28,'000382,'201900246
29,'000399,'201900246
30,'000405,'201900246
31,'000412,'201900246
32,'000429,'201900246
33,'000436,'201900246
34,'000443,'201900246
35,'000450,'201900246
36,'000467,'201803547
37,'000474,'201803547
38,'000504,'201803547
39,'000511,'201803547
40,'000528,'201803547
41,'000535,'201803547
42,'000542,'201900295
43,'000559,'201900295
44,'000566,'201900295
45,'000573,'201900295
46,'000603,'201900295
47,'000610,'201900295
48,'000627,'201900297
49,'000634,'201900297
50,'000702,'201900297
51,'000719,'201900297
52,'000726,'201900297
53,'000733,'201900297
54,'000740,'201900297
55,'000801,'201900297
56,'000818,'201900297
57,'000825,'201900297
58,'000832,'201900297
59,'000849,'201900297
60,'000856,'201900302
61,'000863,'201900302
62,'000900,'201900302
63,'000917,'201900302
64,'000924,'201900605
65,'000931,'201900605
66,'000948,'201900605
67,'000955,'201900605
68,'000962,'201900605
69,'000979,'201900605
70,'000986,'201900605
71,'000993,'201900605
72,'001006,'201900605
73,'001013,'201900605
74,'001020,'201900605
75,'001037,'201900605
76,'001044,'201900655
77,'001051,'201900655
78,'001068,'201900655
79,'001105,'201900655
80,'001112,'201900296
81,'001129,'201900296
82,'001136,'201900296
83,'001143,'201900296
84,'001150,'201900296
85,'001167,'201900296
86,'001174,'201900831
87,'001181,'201900831
88,'001198,'201900831
89,'001204,'201900831
90,'001211,'201900831
91,'001228,'201900831
92,'001235,'201900831
93,'001242,'201900831
94,'001259,'201900831
95,'001303,'201900829
96,'001310,'201900829
97,'001327,'201900829
98,'001334,'201900829
99,'001402,'201900829
100,'001419,'201900829
101,'001426,'201900829
102,'001433,'201900829
103,'001501,'201900829
104,'001518,'201900830
105,'001525,'201900830
106,'001532,'201900830
107,'001600,'201900830
