,0,1
0,'000107,'200403240
1,'000114,'200403240
2,'000206,'200403240
3,'000213,'200403240
4,'000305,'200403240
5,'000312,'200403240
6,'000404,'200403240
7,'000411,'199803113
8,'000503,'199803113
9,'000510,'200403248
10,'000602,'198501419
11,'000619,'198501419
12,'000701,'198501419
13,'000718,'199502366
14,'000800,'198200691
15,'000817,'199803106
16,'000909,'199803106
17,'000916,'199803106
18,'001005,'199803106
19,'001012,'199803106
20,'001104,'199803117
21,'001111,'200608254
22,'001203,'200608254
23,'001210,'200608254
24,'001302,'200608254
25,'001319,'200608254
26,'001401,'200608254
27,'001418,'200608254
28,'001500,'200608254
29,'001517,'200608254
30,'001609,'200608254
31,'001616,'200608254
32,'001708,'200608255
33,'001715,'200608255
34,'001807,'200608255
35,'001814,'200608255
36,'001906,'200608255
37,'001913,'200608255
38,'002002,'200608255
39,'002019,'200608255
40,'002101,'200608255
41,'002118,'200608255
42,'002200,'200608255
43,'002217,'200611319
44,'002309,'200611319
45,'002316,'200611319
46,'002408,'200611319
47,'002415,'200502659
48,'002507,'200502659
49,'002514,'200502669
50,'002606,'200502669
51,'002613,'200502669
52,'002705,'199504306
53,'002712,'200704635
54,'002804,'200704635
55,'002811,'200704635
56,'002903,'200704635
57,'002910,'200704635
58,'003009,'200704635
59,'003016,'200704635
60,'003023,'200704635
61,'003108,'200704635
62,'003115,'199502381
63,'003122,'199502381
64,'003207,'199502381
65,'003214,'200403247
66,'003221,'200403247
67,'003306,'200403247
68,'003313,'200403247
69,'003320,'200403247
70,'003405,'200403247
71,'003412,'200403247
72,'003429,'200403247
73,'003504,'200403247
74,'003511,'200403247
75,'003528,'200707796
76,'003603,'200612310
77,'003610,'200612310
78,'003627,'200103044
79,'003702,'200103044
80,'003719,'200403238
81,'003726,'200403238
82,'003801,'200403238
83,'003818,'200403238
84,'003825,'200403238
85,'003900,'200403238
86,'003917,'200403238
87,'003924,'200403238
88,'004006,'200403238
89,'004013,'200403238
90,'004020,'200308622
91,'004105,'200308622
92,'004112,'200403250
93,'004129,'200403250
94,'004204,'200403250
95,'004211,'200403250
96,'004228,'200403250
97,'004303,'200403250
98,'004310,'200403250
99,'004327,'200403250
100,'004402,'200403250
101,'004419,'200403250
102,'004501,'200403234
103,'004518,'200403234
104,'004525,'200403234
105,'004600,'199602691
106,'004617,'199602691
107,'004624,'199602692
108,'004709,'199602692
109,'004716,'199602692
110,'004723,'199602692
111,'004808,'199602692
112,'004815,'199602692
113,'004822,'199602692
114,'004907,'200701333
115,'004914,'200701333
116,'004921,'200701333
117,'005003,'200701333
118,'005010,'200710610
119,'005027,'200710610
120,'005102,'200710610
121,'005119,'200710610
122,'005126,'200710610
123,'005201,'200710610
124,'005218,'200711025
125,'005300,'200711025
126,'005317,'200711025
127,'005409,'200711025
128,'005416,'200711025
129,'005508,'200711025
130,'005515,'200711026
131,'005607,'200711026
132,'005614,'200711026
133,'005706,'200711026
134,'005713,'200711026
135,'005805,'200711026
136,'005812,'200711026
137,'005904,'200711026
138,'005911,'200502667
139,'006000,'200502667
140,'006017,'200502667
141,'006109,'200502667
142,'006116,'200502667
143,'006208,'200502667
144,'006215,'200502667
145,'006307,'200403237
146,'006314,'200403237
147,'006406,'200403237
148,'006413,'200403237
149,'006505,'200403237
150,'006512,'200403237
151,'006604,'200403237
152,'006611,'200403237
153,'006703,'200403237
154,'006710,'198601875
155,'006802,'198601875
156,'006819,'198601875
157,'006901,'198601875
158,'006918,'198601875
159,'007007,'198601875
160,'007014,'198601875
161,'007106,'198601875
162,'007113,'198601875
163,'007205,'198601875
164,'007212,'198601875
165,'007304,'198601875
166,'007311,'198601875
167,'007403,'198601958
168,'007410,'198601958
169,'007502,'198601958
170,'007519,'198601958
171,'007601,'198601958
172,'007618,'198601958
173,'007700,'198601958
174,'007717,'198601958
175,'007809,'199202478
176,'007816,'199202478
177,'007908,'200708136
178,'007915,'200708136
