,0,1,2
0,'000105,'198300706,0
1,'000112,'198300706,1
2,'000204,'198701126,0
3,'000211,'198701126,10
4,'000228,'198701126,30
5,'000235,'198701126,100
6,'000242,'198701126,1000
7,'000303,'200102074,0
8,'000310,'200102074,1
9,'000327,'200102074,1
10,'000334,'200102074,1
11,'000402,'200002424,0
12,'000419,'200002424,20
13,'000426,'200002424,100
14,'000433,'200002424,1000
15,'000501,'199203472,0
16,'000600,'199203471,0
17,'000617,'199203471,500
18,'000709,'198701127,0
19,'000716,'198701127,1
20,'000723,'198701127,50
21,'000808,'198901537,0
22,'000815,'198901537,1
23,'000822,'198901537,10
24,'000907,'198300708,0
25,'000914,'198300708,1
26,'000921,'198300708,10
27,'000938,'198300708,50
28,'001003,'198300709,0
29,'001010,'198300709,1
30,'001027,'198300709,10
31,'001034,'198300709,50
32,'001102,'200604265,0
33,'001119,'200604265,1
34,'001126,'200604265,10
35,'001133,'200604265,90
36,'001140,'200604265,1
37,'001157,'200604265,1
38,'001164,'200604265,10
39,'001171,'200604265,100
40,'001188,'200604265,60
41,'001195,'200604265,120
42,'001201,'200501863,0
43,'001218,'200501863,1
44,'001225,'200501863,10
45,'001232,'200501863,100
46,'001300,'200301486,0
47,'001317,'200301486,10
48,'001324,'200301486,30
49,'001331,'200301486,100
50,'001409,'199806353,0
51,'001416,'199806353,1
52,'001508,'199806354,0
53,'001515,'199806354,100
54,'001607,'199001481,0
55,'001614,'199001481,30
56,'001621,'199001481,300
57,'001706,'199001477,0
58,'001713,'199001477,10
59,'001720,'199001477,30
60,'001737,'199001477,100
61,'001744,'199001477,500
62,'001805,'199203476,0
63,'001904,'199203474,0
64,'001911,'199203474,30
65,'001928,'199203474,100
66,'001935,'199203474,500
67,'002000,'199203475,0
68,'002017,'199203475,30
69,'002024,'199203475,100
70,'002031,'199203475,500
71,'002109,'198701128,0
72,'002116,'198701128,1
73,'002123,'198701128,10
74,'002130,'198701128,100
75,'002208,'198701128,0
76,'002215,'198701128,1
77,'002307,'198701129,0
78,'002314,'198701129,1
79,'002321,'198701129,10
80,'002338,'198701129,100
81,'002345,'198701129,1
82,'002352,'198701129,1
83,'002505,'199101709,0
84,'002604,'200102075,0
85,'002611,'200102075,1
86,'002628,'200102075,2
87,'002635,'200102075,10
88,'002703,'200102075,0
89,'002710,'200102075,1
90,'002727,'200102075,10
91,'002802,'200102075,0
92,'002819,'200102075,1
93,'002826,'200102075,10
94,'002901,'198801531,0
95,'002918,'198801531,10
96,'002925,'198801531,30
97,'002932,'198801531,100
98,'002949,'198801531,1000
99,'003007,'198801525,0
100,'003014,'198801525,10
101,'003021,'198801525,30
102,'003038,'198801525,100
103,'003045,'198801525,1000
104,'003106,'198601011,0
105,'003113,'198601011,10
106,'003120,'198601011,30
107,'003137,'198601011,100
108,'003144,'198601011,1000
109,'003205,'200402100,0
110,'003212,'200402100,10
111,'003229,'200402100,30
112,'003236,'200402100,100
113,'003304,'200710149,0
114,'003311,'200710149,1
115,'003328,'200710149,5
116,'003403,'198100344,0
117,'003502,'197700311,0
118,'003519,'197700311,100
119,'003526,'197700311,1000
120,'003533,'197700311,1
121,'003601,'198200485,0
122,'003618,'198200485,1
123,'003700,'198100348,0
124,'003717,'198100348,100
