,0,1,2
0,'000107,'200404344,0
1,'000114,'200404344,1
2,'000121,'200404344,150
3,'000138,'200404344,1
4,'000145,'200404344,120
5,'000152,'200404344,240
6,'000169,'200404344,60
7,'000176,'200404344,5
8,'000206,'200203654,0
9,'000305,'200005581,0
10,'000312,'200005581,1
11,'000329,'200005581,150
12,'000336,'200005581,1
13,'000404,'200005687,0
14,'000411,'200005687,1
15,'000503,'200005730,0
16,'000510,'200005730,1
17,'000527,'200005730,90
18,'000534,'200005730,1
19,'000541,'200005730,30
20,'000602,'200005882,0
21,'000619,'200005882,1
22,'000626,'200005882,90
23,'000633,'200005882,1
24,'000640,'200005882,120
25,'000657,'200005882,60
26,'000664,'200005882,5
27,'000701,'200104065,0
28,'000718,'200104065,1
29,'000725,'200104065,90
30,'000732,'200104065,5400
31,'000800,'200005786,0
32,'000817,'200005786,1
33,'000824,'200005786,1
34,'000831,'200005786,1
35,'000909,'200005591,0
36,'000916,'200005591,1
37,'000923,'200005591,150
38,'000930,'200005591,300
39,'000947,'200005591,1
40,'000954,'200005591,1
41,'000961,'200005591,150
42,'000978,'200005591,1
43,'001005,'200005799,0
44,'001012,'200005799,1
45,'001104,'200005731,0
46,'001111,'200005731,1
47,'001128,'200005731,1
48,'001135,'200005731,1
49,'001203,'200005592,0
50,'001210,'200005592,1
51,'001227,'200005592,150
52,'001234,'200005592,1
53,'001241,'200005592,1
54,'001258,'200005592,150
55,'001265,'200005592,1
56,'001302,'200711872,0
57,'001319,'200711872,1
58,'001401,'200005593,0
59,'001418,'200005593,1
60,'001425,'200005593,150
61,'001432,'200005593,1
62,'001449,'200005593,1
63,'001456,'200005593,150
64,'001463,'200005593,1
65,'001500,'200203657,0
66,'001517,'200203657,1
67,'001524,'200203657,150
68,'001531,'200203657,1
69,'001548,'200203657,1
70,'001609,'200005732,0
71,'001616,'200005732,1
72,'001623,'200005732,1
73,'001630,'200005732,1
74,'001708,'200005802,0
75,'001715,'200005802,1
76,'001807,'200005733,0
77,'001814,'200005733,1
78,'001821,'200005733,1
79,'001838,'200005733,1
80,'001845,'200005733,1
81,'001852,'200005733,1
82,'001906,'200005587,0
83,'001913,'200005587,1
84,'002002,'200005734,0
85,'002019,'200005734,1
86,'002026,'200005734,1
87,'002033,'200005734,1
88,'002309,'200005854,0
89,'002316,'200005854,1
90,'002323,'200005854,90
91,'002330,'200005854,60
92,'002347,'200005854,1
93,'002354,'200005854,100
94,'002361,'200005854,1
95,'002378,'200005854,30
96,'002385,'200005854,1
97,'002392,'200005854,10
98,'036212,'200005854,120
99,'036229,'200005854,45
100,'002408,'200005735,0
101,'002415,'200005735,1
102,'002422,'200005735,1
103,'002439,'200005735,1
104,'002507,'200005803,0
105,'002514,'200005803,1
106,'002606,'200005589,0
107,'002613,'200005589,1
108,'002705,'200005672,0
109,'002712,'200005672,1
110,'002804,'200005736,0
111,'002811,'200005736,1
112,'002828,'200005736,1
113,'002835,'200005736,1
114,'002903,'200005582,0
115,'002910,'200005582,1
116,'003009,'200005737,0
117,'003016,'200005737,1
118,'003023,'200005737,1
119,'003030,'200005737,1
120,'003108,'200005652,0
121,'003115,'200005652,1
122,'003122,'200005652,10
123,'003139,'200005652,30
124,'003146,'200005652,50
125,'003207,'200005738,0
126,'003214,'200005738,1
127,'003221,'200005738,1
128,'003238,'200005738,1
129,'003306,'200005739,0
130,'003313,'200005739,1
131,'003320,'200005739,1
132,'003337,'200005739,1
133,'003405,'200005594,0
134,'003412,'200005594,1
135,'003429,'200005594,150
136,'003436,'200005594,300
137,'003443,'200005594,1
138,'003450,'200005594,1
139,'003467,'200005594,150
140,'003474,'200005594,1
141,'003504,'200005595,0
142,'003511,'200005595,1
143,'003528,'200005595,150
144,'003535,'200005595,1
145,'003542,'200005595,1
146,'003559,'200005595,150
147,'003566,'200005595,1
148,'003603,'200005596,0
149,'003610,'200005596,1
150,'003627,'200005596,150
151,'003634,'200005596,1
152,'003641,'200005596,1
153,'003658,'200005596,150
154,'003665,'200005596,1
155,'003702,'200005664,0
156,'003719,'200005664,1
157,'003726,'200005664,90
158,'003733,'200005664,1
159,'003801,'200005740,0
160,'003818,'200005740,1
161,'003825,'200005740,1
162,'003832,'200005740,1
163,'003900,'200005741,0
164,'003917,'200005741,1
165,'003924,'200005741,1
166,'003931,'200005741,1
167,'004006,'200005597,0
168,'004013,'200005597,1
169,'004020,'200005597,150
170,'004037,'200005597,1
171,'004044,'200005597,1
172,'004051,'200005597,150
173,'004068,'200005597,1
174,'004105,'200005819,0
175,'004112,'200005819,1
176,'004204,'200005580,0
177,'004211,'200005580,1
178,'004303,'200005742,0
179,'004310,'200005742,1
180,'004327,'200005742,1
181,'004334,'200005742,1
182,'004402,'200005598,0
183,'004419,'200005598,1
184,'004426,'200005598,150
185,'004433,'200005598,1
186,'004440,'200005598,1
187,'004457,'200005598,150
188,'004464,'200005598,1
189,'004501,'200005599,0
190,'004518,'200005599,1
191,'004525,'200005599,150
192,'004532,'200005599,1
193,'004549,'200005599,1
194,'004556,'200005599,150
195,'004563,'200005599,1
196,'004709,'200005806,0
197,'004716,'200005806,1
198,'004808,'200005600,0
199,'004815,'200005600,1
200,'004822,'200005600,150
201,'004839,'200005600,1
202,'004846,'200005600,1
203,'004853,'200005600,150
204,'004860,'200005600,1
205,'004907,'200005860,0
206,'004914,'200005860,1
207,'005003,'200005601,0
208,'005010,'200005601,1
209,'005027,'200005601,150
210,'005034,'200005601,1
211,'005041,'200005601,1
212,'005058,'200005601,150
213,'005065,'200005601,1
214,'005102,'200005861,0
215,'005119,'200005861,1
216,'005201,'200005743,0
217,'005218,'200005743,1
218,'005225,'200005743,1
219,'005232,'200005743,1
220,'005300,'200005602,0
221,'005317,'200005602,1
222,'005324,'200005602,150
223,'005331,'200005602,1
224,'005348,'200005602,1
225,'005355,'200005602,150
226,'005362,'200005602,1
227,'005409,'200005579,0
228,'005416,'200005579,1
229,'005508,'200005603,0
230,'005515,'200005603,1
231,'005522,'200005603,150
232,'005539,'200005603,1
233,'005546,'200005603,1
234,'005553,'200005603,150
235,'005560,'200005603,1
236,'005607,'200005862,0
237,'005614,'200005862,1
238,'005706,'200005744,0
239,'005713,'200005744,1
240,'005720,'200005744,1
241,'005737,'200005744,1
242,'005805,'200005604,0
243,'005812,'200005604,1
244,'005829,'200005604,150
245,'005836,'200005604,1
246,'005843,'200005604,1
247,'005850,'200005604,150
248,'005867,'200005604,1
249,'005904,'200005745,0
250,'005911,'200005745,1
251,'005928,'200005745,1
252,'005935,'200005745,1
253,'006000,'200005746,0
254,'006017,'200005746,1
