,0,1
0,'000107,'199701960
1,'000114,'199101921
2,'000121,'199101921
3,'000206,'199101921
4,'000213,'199101921
5,'000220,'199101921
6,'000305,'199101921
7,'000312,'199101921
8,'000404,'199101921
9,'000411,'199101921
10,'000503,'199101921
11,'000602,'199101921
12,'000619,'199101921
13,'000626,'200102162
14,'000701,'200102162
15,'000718,'200102162
16,'000800,'200102162
17,'000817,'199101914
18,'000909,'199101914
19,'000916,'199101914
20,'001005,'199101914
21,'001012,'199101914
22,'001104,'199101914
23,'001111,'199101914
24,'001203,'199101914
25,'001210,'199101914
26,'001302,'199101914
27,'001319,'199101914
28,'001401,'199101914
29,'001418,'199101914
30,'001500,'199101914
31,'001517,'199101914
32,'001609,'199501666
33,'001616,'199501666
34,'001623,'199501666
35,'001708,'199501666
36,'001807,'200600414
37,'001906,'200600414
38,'002002,'200600414
39,'002019,'200600414
40,'002101,'200600414
41,'002118,'200600414
42,'002200,'200600414
43,'002217,'200709252
44,'002309,'200709252
45,'002408,'200709252
46,'002507,'199801954
47,'002606,'199801954
48,'002613,'199801954
49,'002620,'199801954
50,'002705,'199801954
51,'002712,'199801954
52,'002729,'200002636
53,'002804,'199101922
54,'002811,'199101922
55,'002903,'199101922
56,'002910,'199801986
57,'003009,'199801986
58,'003016,'199801986
59,'003108,'199801986
60,'003115,'199801986
61,'003207,'199801986
62,'003306,'199801986
63,'003313,'199801986
64,'003405,'199801986
65,'003412,'200301573
66,'003504,'200301573
67,'003511,'199801987
68,'003603,'199801987
69,'003610,'199801987
70,'003702,'199801987
71,'003719,'199801987
72,'003801,'199801987
73,'003818,'199801987
74,'003900,'199801987
75,'003917,'199801987
76,'004006,'199801987
77,'004013,'199501661
78,'004105,'199501661
79,'004112,'199501661
80,'004204,'199501661
81,'004303,'199501661
82,'004402,'199501661
83,'004501,'199501661
84,'004518,'199501661
85,'004525,'199902095
86,'004532,'199902095
87,'004600,'199902095
88,'004617,'199902095
89,'004624,'199601947
90,'004709,'199601947
91,'004716,'199601947
92,'004723,'199601947
