,0,1,2
0,'000109,'200600563,0
1,'000116,'200600563,90
2,'000123,'200600563,10
3,'000208,'200705778,0
4,'000307,'200705733,0
5,'000406,'199202565,0
6,'000413,'199202565,30
7,'000420,'199202565,200
8,'000437,'199202565,500
9,'000505,'199502431,0
10,'000512,'199502431,100
11,'000529,'199502431,1
12,'000536,'199502431,10
13,'000543,'199502431,60
14,'000604,'198902352,0
15,'000611,'198902352,200
16,'000628,'198902352,1000
17,'000703,'198200716,0
18,'000710,'198200716,300
19,'000727,'198200716,1000
20,'000802,'199703043,0
21,'000819,'199703043,1
22,'000826,'199703043,10
23,'000901,'200709244,0
24,'001007,'199602737,0
25,'001106,'199602738,0
26,'001205,'198501455,0
27,'001212,'198501455,30
28,'001229,'198501455,200
29,'001236,'198501455,500
30,'001243,'198501455,100
31,'001304,'200403304,0
32,'001311,'200403304,30
33,'001328,'200403304,300
34,'001335,'200403304,100
35,'001342,'200403304,10
36,'001359,'200403304,30
37,'001403,'200600562,0
38,'001410,'200600562,30
39,'001427,'200600562,10
40,'001502,'200706525,0
41,'001519,'200706525,30
42,'001526,'200706525,300
43,'001533,'200706525,10
44,'001601,'200605468,0
45,'001618,'200605468,30
46,'001625,'200605468,100
47,'001700,'200302190,0
48,'001809,'200403295,0
49,'001816,'200403295,100
50,'001823,'200403295,1000
51,'001830,'200403295,1000
52,'001908,'200302200,0
53,'001915,'200302200,1
54,'001922,'200302200,10
55,'002004,'200502721,0
56,'002011,'200502721,100
57,'002028,'200502721,30
58,'002103,'200202745,0
59,'002110,'200202745,30
60,'002127,'200202745,100
61,'002202,'200702497,0
62,'002219,'200702497,30
63,'002226,'200702497,100
64,'002301,'200611332,0
65,'002318,'200611332,28
66,'002325,'200611332,7
67,'002400,'200703185,0
68,'002417,'200703185,28
69,'002424,'200703185,28
70,'002509,'200600561,0
71,'002608,'200604333,0
72,'002615,'200604333,300
73,'002622,'200604333,30
74,'002707,'200302193,0
75,'002714,'200302193,30
76,'002721,'200302193,500
77,'002738,'200302193,100
78,'002806,'200502726,0
