,0,1
0,'000106,'200600505
1,'000113,'200600505
2,'000205,'200600505
3,'000212,'200600505
4,'000304,'200600505
5,'000311,'200600505
6,'000403,'200600505
7,'000410,'200600505
8,'000502,'200600505
9,'000519,'200600505
10,'000601,'200600505
11,'000618,'200600505
12,'000700,'200600505
13,'000717,'200600505
14,'000809,'200600505
15,'000816,'200600505
16,'000908,'200600505
17,'000915,'200600505
18,'001004,'200600498
19,'001011,'200301902
20,'001103,'200301902
21,'001110,'200003308
22,'001202,'200003308
23,'001219,'200003309
24,'001301,'200003309
25,'001318,'200402772
26,'001325,'200402772
27,'001332,'200402772
28,'001349,'200502323
29,'001356,'200502323
30,'001363,'200502323
31,'001400,'200502323
32,'001417,'200502323
33,'001424,'200502323
34,'001431,'200502323
35,'001448,'200502323
36,'001509,'200502323
37,'001608,'200502323
38,'001615,'200502323
39,'001622,'200502323
40,'001639,'198802985
41,'001707,'198802985
42,'001806,'198802985
43,'001905,'198802985
44,'001912,'198802985
45,'001929,'198802985
46,'002001,'198802985
47,'002018,'198802985
48,'002100,'198802985
49,'002117,'198802985
50,'002209,'198802985
51,'002216,'198802985
52,'002308,'198802986
53,'002315,'198802986
54,'002322,'198802986
55,'002407,'198802986
56,'002506,'198802986
57,'002605,'198802986
58,'002704,'198802986
59,'002803,'198802986
60,'002902,'198802986
61,'003008,'198802986
62,'003015,'198802986
63,'003022,'198802986
64,'003107,'198802986
65,'003114,'198802986
66,'003121,'198802986
67,'003206,'198802986
68,'003213,'198802986
69,'003220,'198802986
70,'003237,'198802986
71,'003244,'199802573
72,'003305,'199802573
73,'003312,'199802573
74,'003404,'199802573
75,'003411,'199802573
76,'003428,'199802573
77,'003503,'200202337
78,'003510,'200202337
79,'003602,'200102704
80,'003619,'200102704
81,'003701,'200102704
82,'003718,'200102704
83,'003800,'200102704
84,'003817,'200102704
85,'003909,'200102704
86,'003916,'200102703
87,'004005,'200102703
88,'004012,'200102703
89,'004029,'200502339
90,'004104,'200502339
91,'004111,'200502322
92,'004128,'200502322
93,'004135,'199802568
94,'004142,'199802568
95,'004159,'199802568
96,'004203,'199802568
97,'004210,'199802568
98,'004227,'199802568
99,'004302,'200003314
100,'004319,'200003314
101,'004401,'200003314
102,'004418,'200003314
103,'004500,'200003314
104,'004517,'200102708
105,'004609,'200102708
106,'004616,'200102708
107,'004623,'200102708
108,'004708,'200608188
109,'004715,'200402803
110,'004722,'200402803
111,'004807,'200402803
112,'004814,'200608187
113,'004821,'200608187
114,'004906,'200608187
115,'004913,'199702734
116,'005002,'199702734
117,'005019,'199702734
118,'005101,'198802115
119,'005118,'198802115
120,'005200,'198802115
121,'005217,'198802115
122,'005309,'198802116
123,'005316,'198802116
124,'005408,'198802116
125,'005415,'198802116
126,'005507,'198100443
127,'005514,'198100443
128,'005521,'198802108
129,'005606,'198802108
130,'005705,'200606300
131,'005712,'200502329
132,'005804,'200502329
133,'005811,'200703028
134,'005903,'200301906
135,'005910,'200301906
136,'005927,'200301906
137,'006009,'200301906
138,'006016,'200301906
139,'006023,'200301906
140,'006030,'200301906
141,'006108,'200301906
142,'006207,'199502068
143,'006214,'199502068
144,'006221,'199502068
145,'006238,'199502068
146,'006306,'200402789
147,'006405,'200402789
148,'006504,'200402789
149,'006603,'200402789
150,'006702,'200402789
151,'006801,'200402789
152,'006900,'198601265
153,'006917,'198601265
154,'007006,'198601265
155,'007013,'198601264
156,'007105,'198601264
157,'007204,'198601264
158,'007303,'198601264
159,'007310,'198601264
160,'007402,'198601264
161,'007501,'198601264
162,'007518,'198601264
163,'007600,'198601264
164,'007709,'198601264
165,'007716,'198601264
166,'007808,'198601264
167,'007907,'198601264
168,'008003,'198601264
169,'008102,'198601264
170,'008201,'198601264
171,'008218,'198601264
172,'008225,'198601264
173,'008300,'198601264
174,'008317,'198601264
175,'008324,'200502327
176,'008409,'200502330
177,'008416,'200102694
178,'008508,'200102694
179,'008607,'200502328
180,'008706,'200502328
181,'008805,'200502337
182,'008812,'200502337
183,'008904,'200702093
184,'008911,'200702093
185,'009000,'200702093
186,'009017,'200702093
187,'009109,'199302442
188,'009116,'199302442
189,'009123,'199302442
190,'009208,'200402780
191,'009215,'200402780
192,'009222,'200402780
193,'009239,'199802556
194,'009246,'199802556
195,'009307,'199802556
196,'009314,'199802556
197,'009321,'199802556
198,'009406,'199802556
199,'009413,'199802556
200,'009505,'199802556
201,'009512,'199802556
202,'009529,'198902005
203,'009604,'198902005
204,'009611,'198902005
205,'009628,'198902005
206,'009635,'198902005
207,'009703,'198902005
208,'009710,'198902005
209,'009727,'198902005
210,'009802,'198902005
211,'009819,'200502326
212,'009826,'200608183
213,'009901,'200608183
214,'009918,'200608183
215,'009925,'200608183
216,'010006,'200608183
217,'010013,'200608183
218,'010020,'200608183
219,'010037,'200608183
220,'010105,'200608183
221,'010204,'200702854
222,'010303,'200202355
223,'010402,'200202355
224,'010419,'200202349
225,'010501,'200202349
226,'010518,'200202349
227,'010600,'200202349
228,'010617,'200402802
229,'010709,'200600500
230,'010808,'200600500
231,'010907,'200600500
232,'011003,'200600500
233,'011010,'200600500
234,'011102,'200600500
235,'011119,'200600500
236,'011201,'200600500
237,'011300,'200600500
238,'011409,'200605451
239,'011508,'200605451
240,'011515,'200102700
241,'011522,'200102700
242,'011607,'200502336
243,'011614,'200502336
244,'011706,'200301905
245,'011805,'200301905
246,'011904,'200301905
247,'012000,'200301905
248,'012109,'200402812
249,'012208,'200402812
250,'012307,'200402812
251,'012314,'200402812
252,'012321,'200402812
253,'012338,'200402806
254,'012345,'200402806
255,'012406,'200402806
256,'012413,'200202350
257,'012505,'200202350
258,'012512,'199902830
259,'012529,'199902830
260,'012604,'199902830
261,'012611,'199902830
262,'012703,'200402773
263,'012802,'200402773
264,'012901,'200402773
265,'012918,'200402788
266,'012925,'198300882
267,'012932,'198300882
268,'013007,'198300882
269,'013106,'198300882
270,'013205,'198300881
271,'013304,'198300881
272,'013311,'198300881
273,'013403,'198300881
274,'013410,'198300881
275,'013502,'198300881
276,'013519,'200301925
277,'013601,'200301925
278,'013618,'200301925
279,'013625,'200301925
280,'013700,'200301925
281,'013717,'200301925
282,'013724,'200301925
283,'013809,'200301925
284,'013816,'200301925
285,'013823,'200301925
286,'013908,'200301925
287,'013915,'200301925
288,'013922,'200708749
289,'014004,'200708749
290,'014103,'200708749
291,'014202,'200708749
292,'014301,'200708749
293,'014400,'200708749
294,'014417,'200708749
295,'014424,'200708749
296,'014431,'200708749
297,'014509,'200708749
298,'014608,'200708749
299,'014615,'200708749
300,'014707,'200402793
301,'014714,'200402793
302,'014806,'200402793
303,'014813,'200402793
304,'014820,'200402793
305,'014905,'200402793
306,'014912,'200706784
307,'014929,'200702694
308,'015001,'200702694
309,'015100,'200702694
310,'015117,'200702694
311,'015124,'200702694
312,'015131,'200702694
313,'015209,'200702179
314,'015216,'200402770
315,'015308,'200402770
316,'015315,'200202343
317,'015407,'200202343
318,'015414,'200202343
319,'015421,'200301913
320,'015506,'200301913
321,'015513,'200301913
322,'015520,'200308499
323,'015605,'200308499
324,'015612,'200308498
325,'015629,'200308498
326,'015704,'200301919
327,'015711,'200301919
328,'015728,'200301919
329,'015803,'200301919
330,'015810,'200308500
331,'015827,'200308500
332,'015902,'200202342
333,'015919,'200202342
334,'015926,'200202342
335,'016008,'200202342
336,'016015,'200202342
337,'016107,'200202342
338,'016114,'199902836
339,'016206,'199902836
340,'016213,'199902836
341,'016220,'199902836
342,'016305,'199902835
343,'016312,'199902835
344,'016404,'200003320
345,'016411,'200003320
346,'016503,'200003320
347,'016510,'200003320
348,'016602,'200402779
349,'016619,'200402783
350,'016626,'200402783
351,'016701,'200402784
352,'016718,'200301898
353,'016800,'200301898
354,'016817,'200301911
355,'016909,'200301911
356,'016916,'200301911
357,'017005,'200301911
358,'017012,'200301911
359,'017029,'200402794
360,'017104,'200102696
361,'017111,'200702855
362,'017128,'200702839
363,'017135,'200702856
364,'017203,'200703341
365,'017210,'200502334
366,'017302,'200502334
367,'017319,'200402799
368,'017326,'200402799
369,'017333,'200402799
370,'017340,'200800465
371,'017401,'200800465
372,'017418,'200712961
373,'017500,'200712961
374,'017517,'200803615
375,'017524,'200803615
376,'017531,'200803614
377,'017609,'200803614
378,'017616,'200803332
379,'017708,'200803332
380,'017715,'200803332
381,'017807,'200803332
382,'017814,'200803332
383,'017906,'200803332
384,'017913,'200803332
385,'018002,'200803332
386,'018019,'200803332
387,'018101,'200803332
388,'018118,'200803332
389,'018125,'200803332
390,'018200,'200803332
391,'018217,'200803332
392,'018224,'200803332
393,'018231,'200803332
394,'018309,'200803534
395,'018408,'200803534
396,'018507,'200803534
397,'018514,'200803534
398,'018521,'200803621
399,'018538,'200803621
400,'018545,'200804236
401,'018606,'200804236
402,'018613,'200804188
403,'018620,'200804188
404,'018637,'200804188
405,'018705,'200402804
406,'018712,'200301900
407,'018804,'200711407
408,'018811,'200711407
409,'018828,'200711407
410,'018903,'200711407
411,'018910,'200711407
412,'018927,'200711407
413,'018934,'200711407
414,'019009,'200711407
415,'019016,'200711407
416,'019023,'200711407
417,'019108,'200711407
418,'019207,'200711407
419,'019306,'200711407
420,'019313,'200712404
421,'019320,'200712404
422,'019337,'200712404
423,'019344,'200712404
424,'019405,'200712404
425,'019412,'200712404
426,'019429,'200806721
427,'019504,'200806721
428,'019511,'200801423
429,'019528,'200801199
430,'019603,'200802363
431,'019610,'200800824
432,'019702,'200803703
433,'019719,'200803703
434,'019801,'200803703
435,'019818,'200803703
436,'019900,'200803703
437,'019917,'200803703
438,'020005,'200803703
439,'020012,'200803703
440,'020104,'200803703
441,'020111,'200803703
442,'020203,'200803721
443,'020210,'200803721
444,'020302,'200803721
445,'020319,'200803721
446,'020401,'200803721
447,'020418,'200803721
448,'020500,'200803721
449,'020517,'200803721
450,'020609,'200809175
451,'020616,'200809175
452,'020623,'200809175
453,'020708,'200809175
454,'020807,'200809175
455,'020814,'200807187
456,'020906,'200807187
457,'021002,'200807187
458,'021101,'200807187
459,'021118,'200807187
460,'021125,'200807187
461,'021200,'200807187
462,'021217,'200807187
463,'021224,'200807187
464,'021309,'200807187
465,'021316,'200807187
466,'021408,'200807187
467,'021415,'200810693
468,'021507,'200810693
469,'021514,'200810693
470,'021606,'200810693
471,'021705,'200810693
472,'021804,'200810693
473,'021811,'200810693
474,'021828,'200810978
475,'021835,'200900682
476,'021842,'200900682
477,'021903,'200900376
478,'021910,'200900376
479,'022009,'200900376
480,'022016,'200900376
481,'022108,'200900376
482,'022115,'200900376
483,'022207,'200900376
484,'022214,'200900376
485,'022221,'200900376
486,'022238,'200807902
487,'022245,'200807902
488,'022252,'200807902
489,'022269,'200807902
490,'022276,'200807902
491,'022283,'200807902
492,'022306,'200811629
493,'022405,'200811361
494,'022412,'200810935
495,'022504,'200809283
496,'022511,'200809283
497,'022528,'200809283
498,'022535,'200809283
499,'022603,'200809283
500,'022610,'200809283
501,'022702,'200809283
502,'022801,'200809283
503,'022818,'200809283
504,'022825,'200809283
505,'022900,'200809283
506,'023006,'200809283
507,'023105,'200810571
508,'023204,'200810867
509,'023303,'200810991
510,'023310,'200809486
511,'023327,'200809486
512,'023402,'200809486
513,'023501,'200809486
514,'023600,'200809486
515,'023709,'200809486
516,'023808,'200809486
517,'023907,'200809486
518,'023914,'200809486
519,'024003,'200809486
520,'024010,'200809486
521,'024102,'200809486
522,'024119,'200900302
523,'024201,'200900348
524,'024218,'200900883
525,'024300,'200900883
526,'024409,'200903158
527,'024508,'200903158
528,'024515,'200901618
529,'024522,'200901618
530,'024539,'200901786
531,'024607,'200901819
532,'024614,'200901825
533,'024706,'200901826
534,'024713,'200901890
535,'024805,'200901965
536,'024812,'200902152
537,'025000,'200902152
538,'025017,'200902181
539,'025109,'200904517
540,'025116,'200904517
541,'025208,'200904517
542,'025215,'200904517
543,'025222,'200808866
544,'025307,'200808866
545,'025314,'200808866
546,'025321,'200808866
547,'025406,'200808866
548,'025413,'200808866
549,'025420,'200808866
550,'025505,'200808866
551,'025512,'200904371
552,'025604,'200906542
553,'025611,'200906542
554,'025703,'200906542
555,'025710,'199906889
556,'025802,'199602373
557,'025819,'199602373
558,'025901,'200402775
559,'025918,'200202344
560,'026007,'199302422
561,'026106,'199702746
562,'026205,'200410958
563,'026212,'199902834
564,'026229,'199902834
565,'026236,'199302431
566,'026243,'199802560
567,'026304,'199802558
568,'026311,'199403096
569,'026328,'200502349
570,'026335,'199902838
571,'026342,'200502316
572,'026403,'199702745
573,'026410,'199702745
574,'026427,'199702744
575,'026434,'200003311
576,'026502,'200301917
577,'026519,'200402801
578,'026526,'200301916
579,'026533,'200902182
580,'026601,'200902182
581,'026618,'200904347
582,'026625,'200903972
583,'026632,'200903972
584,'026700,'200904502
585,'026717,'200904502
586,'026724,'200905707
587,'026731,'200904950
588,'026809,'200904950
589,'026816,'200904950
590,'026823,'200906484
591,'026830,'200905787
592,'026847,'200904428
593,'026854,'200904427
594,'026861,'200904427
595,'026908,'200904427
596,'027004,'200904427
597,'027103,'200904427
598,'027202,'200904427
599,'027301,'200904427
600,'027400,'200904427
601,'027509,'200904427
602,'027608,'200904139
603,'027707,'200904139
604,'027806,'200902428
605,'027905,'200902428
606,'028001,'200902298
607,'028100,'200902298
608,'028209,'200902183
609,'028216,'200902183
610,'028223,'200902189
611,'028230,'200902189
612,'028308,'200902189
613,'028315,'200902189
614,'028322,'200902189
615,'028339,'200902189
616,'028407,'200902190
617,'028414,'200902190
618,'028506,'200902211
619,'028513,'200902211
620,'028520,'200902299
621,'028537,'200902299
622,'028544,'200903890
623,'028605,'200903890
624,'028612,'897
625,'028629,'897
626,'028704,'1020
627,'028711,'1020
628,'028803,'197500477
629,'028810,'197500477
630,'028827,'198200607
631,'028834,'3267
632,'028902,'3267
633,'028919,'3267
634,'029008,'3268
635,'029015,'3268
636,'029107,'199502077
637,'029114,'199302425
638,'029121,'199302437
639,'029206,'199702739
640,'029213,'200908059
641,'029220,'200908059
642,'029305,'200908059
643,'029312,'200908059
644,'029404,'200908471
645,'029411,'200908471
646,'029428,'201000112
647,'029503,'201000112
648,'029510,'201000112
649,'029527,'200810630
650,'029602,'201000991
651,'029619,'201000991
652,'029626,'201000991
653,'029701,'201000991
654,'029718,'201000969
655,'029800,'201000969
656,'029817,'201000969
657,'029824,'201000969
658,'029831,'201001266
659,'029909,'201001266
660,'029916,'201001266
661,'029923,'201001266
662,'029930,'201001266
663,'030004,'201001266
664,'030103,'201001266
665,'030202,'201001266
666,'030301,'201001266
667,'030400,'201001266
668,'030509,'201001266
669,'030608,'201001266
670,'030707,'201001266
671,'030806,'201001723
672,'030905,'201001737
673,'031001,'201001737
674,'031100,'201001737
675,'031209,'201001737
676,'031308,'201001737
677,'031407,'201001737
678,'031506,'201001737
679,'031605,'201001737
680,'031704,'201001737
681,'031711,'201001737
682,'031728,'201001737
683,'031803,'201001737
684,'031810,'201002383
685,'031827,'201002383
686,'031834,'201002383
687,'031841,'201002769
688,'031902,'201002769
689,'032008,'201002770
690,'032107,'201002770
691,'032206,'201003763
692,'032305,'201003763
693,'032404,'201005001
694,'032503,'201005001
695,'032602,'201005001
696,'032701,'201005001
697,'032800,'201005001
698,'032909,'201005001
699,'033005,'201004243
700,'033012,'201004243
701,'033029,'201004243
702,'033036,'201004243
703,'033043,'201004243
704,'033050,'201004243
705,'033104,'201004243
706,'033111,'201004243
707,'033203,'201004243
708,'033210,'201002089
709,'033227,'201002089
710,'033302,'201002089
711,'033319,'201002089
712,'033401,'201002089
713,'033418,'201002089
714,'033500,'201002978
715,'033517,'201002978
716,'033524,'201002981
717,'033609,'201003408
718,'033616,'201003408
719,'033708,'201002980
720,'033715,'201002980
721,'033722,'201002980
722,'033739,'201002980
723,'033807,'201002980
724,'033814,'201002980
725,'033906,'201003451
726,'033913,'201003451
727,'033920,'201005781
728,'034002,'201005781
729,'034019,'201005781
730,'034026,'201005781
731,'034101,'201005781
732,'034118,'201005781
733,'034200,'201005781
734,'034217,'201005781
735,'034224,'201005781
736,'034309,'200502720
737,'034316,'200502720
738,'034323,'200502720
739,'034408,'200502720
740,'034415,'200502720
741,'034422,'200502720
742,'034507,'200502720
743,'034514,'200502720
744,'034521,'200502720
745,'034606,'201006807
746,'034613,'201006807
747,'034620,'201006807
748,'034637,'201006807
749,'034705,'200501151
750,'034712,'200501151
751,'034804,'200501151
752,'034811,'200501151
753,'034828,'200501151
754,'034903,'200501151
755,'034910,'200501151
756,'034927,'200501151
757,'035009,'200501151
758,'035016,'200501151
759,'035023,'200501151
760,'035108,'200501151
761,'035115,'200501151
762,'035122,'200501151
763,'035207,'200501151
764,'035306,'200301920
765,'035313,'200402771
766,'035405,'201005178
767,'035412,'201005179
768,'035504,'201100907
769,'035511,'201100907
770,'035528,'201100907
771,'035603,'201100907
772,'035610,'201100907
773,'035627,'201100907
774,'035702,'201100973
775,'035719,'201100973
776,'035726,'201100973
777,'035801,'201100973
778,'035818,'201100973
779,'035900,'201100973
780,'035917,'201100973
781,'036006,'201100973
782,'036013,'201100973
783,'036105,'201104067
784,'036112,'201104067
785,'036204,'201104067
786,'036211,'201104067
787,'036303,'201104067
788,'036310,'201104067
789,'036402,'201103628
790,'036419,'201103628
791,'036501,'200807634
792,'036518,'200807634
793,'036600,'200807634
794,'036617,'200807634
795,'036709,'200807634
796,'036716,'200807634
797,'036808,'200807634
798,'036815,'200807634
799,'036907,'200807634
800,'036914,'200807634
801,'037003,'200807634
802,'037010,'200807634
803,'037027,'201103684
804,'037102,'201103684
805,'037119,'201105860
806,'037126,'201105860
807,'037201,'201105817
808,'037218,'201105817
809,'037225,'201106964
810,'037300,'201106964
811,'037317,'201106964
812,'037324,'201106964
813,'037331,'201106964
814,'037409,'201106964
815,'037416,'201109190
816,'037423,'201110661
817,'037430,'201110661
818,'037508,'200403925
819,'037515,'200403925
820,'037607,'200403925
821,'037614,'200403925
822,'037706,'200403925
823,'037713,'200403925
824,'037720,'200403925
825,'037805,'200403925
826,'037812,'200403925
827,'037829,'201112300
828,'037836,'201112300
829,'037904,'201112300
830,'037911,'201112300
831,'037928,'201112300
832,'037935,'201112300
833,'038000,'201112300
834,'038017,'201112300
835,'038109,'201112300
836,'038116,'201200995
837,'038208,'201200995
838,'038307,'201200995
839,'038314,'201200995
840,'038406,'201207010
841,'038413,'201207010
842,'038505,'201207010
843,'038512,'201206251
844,'038529,'201206251
845,'038604,'201206251
846,'038611,'201206251
847,'038628,'201206251
848,'038703,'201206251
849,'038710,'201206251
850,'038727,'201206251
851,'038734,'201206251
852,'038741,'201206251
853,'038758,'201206251
854,'038802,'201205962
855,'038819,'201205962
856,'038826,'201205550
857,'038833,'201205550
858,'038840,'201205550
859,'038857,'201205550
860,'038864,'201205550
861,'038901,'201206706
862,'038918,'201206706
863,'038925,'201203534
