,0,1,2
0,'000105,'199702403,0
1,'000112,'199702403,1
2,'000129,'199702403,50
3,'000204,'199702376,0
4,'000211,'199702376,1
5,'000228,'199702376,50
6,'000303,'199702375,0
7,'000310,'199702375,1
8,'000327,'199702375,50
9,'000402,'199702370,0
10,'000501,'200402511,0
11,'000600,'200301726,0
12,'000617,'200301726,10
13,'000709,'200600460,0
14,'000716,'200600460,100
15,'000723,'200600460,300
16,'000730,'200600460,30
17,'000808,'200701335,0
18,'000815,'200701335,100
19,'000822,'200701335,30
20,'000839,'200701335,100
21,'000846,'200701335,200
22,'000907,'200502089,0
23,'000914,'200502089,100
24,'000921,'200502089,200
25,'000938,'200502089,30
26,'001003,'199704689,0
27,'001010,'199704689,1
28,'001102,'200402514,0
29,'001119,'200402514,10
30,'001201,'199202021,0
31,'001300,'199702365,0
32,'001317,'199702365,1
33,'001324,'199702365,10
34,'001409,'199702364,0
35,'001508,'200402519,0
36,'001607,'200402517,0
37,'001706,'200402518,0
38,'001805,'200402520,0
39,'001904,'200703797,0
40,'001911,'200703797,30
41,'001928,'200703797,100
42,'001935,'200703797,30
43,'002000,'200402512,0
44,'002017,'200402512,1
45,'002024,'200402512,1
46,'002031,'200402512,1
47,'002109,'199702373,0
48,'002208,'199702372,0
49,'002215,'199702372,1
50,'002222,'199702372,50
51,'002307,'200402522,0
52,'002314,'200402522,30
53,'002321,'200402522,100
54,'002406,'199702386,0
55,'002505,'199702385,0
56,'002604,'200502099,0
57,'002611,'200502099,500
58,'002628,'200502099,30
59,'002703,'199902439,0
60,'002710,'199902439,10
61,'002802,'200002882,0
62,'002819,'200002882,100
63,'002826,'200002882,1
64,'002833,'200002882,60
65,'002840,'200002882,30
66,'002901,'199702352,0
67,'002918,'199702352,30
68,'002925,'199702352,500
69,'003007,'199702367,0
70,'003014,'199702367,1
71,'003021,'199702367,50
72,'003106,'199702366,0
73,'003113,'199702366,1
74,'003120,'199702366,50
75,'003205,'199102063,0
76,'003304,'200701586,0
77,'003403,'200102367,0
78,'003410,'200102367,10
79,'003427,'200102367,500
80,'003502,'199704622,0
81,'003519,'199704622,100
82,'003601,'200210689,0
83,'003618,'200210689,100
84,'003625,'200210689,100
85,'003700,'200210690,0
86,'003717,'200210690,100
87,'003809,'200210691,0
88,'003908,'200308474,0
89,'004004,'200210692,0
90,'004011,'200210692,1
91,'004028,'200210692,10
92,'004103,'200308472,0
93,'004110,'200308472,1
94,'004127,'200308472,10
95,'004202,'200308473,0
96,'004301,'199802255,0
97,'004400,'198501196,0
98,'004417,'198501196,100
99,'004424,'198501196,30
100,'004431,'198501196,100
101,'004509,'199702396,0
102,'004516,'199702396,1
103,'004523,'199702396,50
104,'004608,'199802287,0
105,'004615,'199802287,240
106,'004622,'199802287,120
107,'004707,'199501914,0
108,'004714,'199501914,100
109,'004806,'200402510,0
110,'004813,'200402510,500
111,'004820,'200402510,30
112,'004905,'200502105,0
113,'004912,'200502105,500
114,'004929,'200502105,30
115,'005001,'199702393,0
116,'005100,'198701326,0
117,'005209,'200611114,0
118,'005216,'200611114,100
119,'005223,'200611114,30
120,'005230,'200611114,300
121,'005308,'199907237,0
122,'005407,'199401624,0
123,'005414,'199401624,360
124,'005421,'199401624,180
125,'005438,'199401624,100
126,'005445,'199401624,60
127,'005506,'199702384,0
128,'005513,'199702384,100
129,'005520,'199702384,500
130,'005537,'199702384,30
131,'005605,'199702383,0
132,'005704,'200102366,0
133,'005803,'200502093,0
