,0,1,2
0,'000104,'200108683,0
1,'000203,'199704228,0
2,'000210,'199704228,1
3,'000302,'200108682,0
4,'000401,'199403082,0
5,'000500,'200610630,0
6,'000517,'200610630,28
7,'000609,'200610631,0
8,'000616,'200610631,28
9,'000708,'200610632,0
10,'000715,'200610632,28
11,'000807,'200610633,0
12,'000814,'200610633,28
13,'000906,'200610634,0
14,'000913,'200610634,28
15,'001002,'200307768,0
16,'001019,'200307768,4
17,'001101,'200108678,0
18,'001118,'200108678,4
19,'001125,'200108678,8
20,'001200,'200708838,0
21,'001217,'200708838,28
22,'001309,'200708839,0
23,'001316,'200708839,28
24,'001408,'200510992,0
25,'001415,'200510992,1
26,'001507,'200108671,0
27,'001514,'200108671,7
28,'001521,'200108671,30
29,'001538,'200108671,28
30,'001606,'200108672,0
31,'001613,'200108672,7
32,'001620,'200108672,30
33,'001637,'200108672,28
34,'001705,'200108676,0
35,'001712,'200108676,28
36,'001804,'200510990,0
37,'001811,'200510990,28
38,'001903,'200510991,0
39,'001910,'200510991,28
40,'002009,'200209622,0
41,'002016,'200209622,28
42,'002108,'199704229,0
43,'002115,'199704229,28
44,'002207,'199704230,0
45,'002221,'199704230,56
46,'002306,'199704231,0
47,'002313,'199704231,56
48,'002405,'200307767,0
49,'002504,'200409970,0
50,'002511,'200409970,1
51,'002603,'199704233,0
52,'002610,'199704233,1
53,'002702,'199704232,0
54,'002719,'199704232,1
55,'002801,'200110129,0
56,'002900,'200209623,0
57,'002917,'200209623,1
58,'003006,'200209627,0
59,'003013,'200209627,4
60,'003105,'200409973,0
61,'003112,'200409973,28
62,'003129,'200409973,100
63,'003136,'200409973,100
64,'003204,'199906859,0
65,'003211,'199906859,28
66,'003303,'200610636,0
67,'003310,'200610636,1
68,'003327,'200610636,5
69,'003402,'200209624,0
70,'003419,'200209624,5
71,'003426,'200209624,5
72,'003433,'200209624,1
73,'003440,'200209624,1
74,'003501,'199806403,0
75,'003518,'199806403,1
76,'003709,'200610635,0
77,'003716,'200610635,1
78,'003723,'200610635,5
79,'003808,'200606924,0
80,'003815,'200606924,1
81,'003822,'200606924,5
82,'003839,'200606924,5
83,'003846,'200606924,1
84,'003907,'200108674,0
85,'003914,'200108674,1
86,'003921,'200108674,2
87,'004102,'199203300,0
88,'004119,'199203300,1
89,'004201,'199203302,0
90,'004300,'200409971,0
91,'004317,'200409971,1
92,'004409,'200409972,0
93,'004416,'200409972,1
94,'004508,'200907210,0
95,'004515,'200907210,1
96,'004522,'200907210,5
97,'004539,'200907210,1
98,'004546,'200907210,5
99,'004607,'200907209,0
100,'004614,'200907209,1
101,'004621,'200907209,5
102,'004638,'200907209,1
103,'004645,'200907209,5
104,'004706,'200802021,0
105,'004713,'200802021,56
106,'004805,'200805708,0
107,'004812,'200805708,1
108,'004904,'200805711,0
109,'004911,'200805711,1
110,'005000,'200807091,0
111,'005017,'200807091,28
112,'005024,'200807091,14
113,'005109,'200807600,0
114,'005116,'200807600,1
115,'005123,'200807600,5
116,'005208,'200807601,0
117,'005215,'200807601,1
118,'005222,'200807601,5
119,'005239,'200807601,5
120,'005246,'200807601,1
121,'005406,'199002453,0
122,'005505,'199604637,0
123,'005604,'199604636,0
124,'005703,'199502734,0
125,'005901,'198701892,0
126,'006007,'199203304,0
127,'006502,'199402271,0
128,'006601,'199504119,0
129,'006700,'199906858,0
130,'007004,'199402272,0
131,'007103,'200103391,0
132,'007301,'200209625,0
133,'007400,'200209626,0
134,'008407,'199402262,0
135,'008704,'199304070,0
136,'008803,'199304066,0
137,'008902,'199402273,0
138,'009008,'199402266,0
139,'009107,'199402263,0
140,'009206,'199203301,0
141,'009305,'199203303,0
142,'009404,'200908201,0
143,'009411,'200908201,28
144,'009503,'201001722,0
145,'009510,'201001722,1
146,'009602,'201004753,0
147,'009619,'201004753,30
148,'009701,'201004754,0
149,'009718,'201004754,30
150,'009800,'201200753,0
151,'010004,'201310090,0
152,'010011,'201310090,1
153,'010103,'201502274,0
154,'010110,'201502274,1
155,'010202,'201502274,0
156,'010219,'201502274,1
157,'010301,'201503164,0
158,'010318,'201503164,1
159,'010325,'201503164,2
160,'010400,'201503165,0
161,'010417,'201503165,1
162,'010424,'201503165,2
163,'010509,'201503166,0
164,'010516,'201503166,1
165,'010523,'201503166,2
166,'010608,'201503167,0
167,'010615,'201503167,1
168,'010622,'201503167,2
169,'010707,'201507922,0
170,'010714,'201507922,1
171,'010721,'201507922,5
172,'010806,'201507921,0
173,'010813,'201507921,1
174,'010820,'201507921,5
175,'010837,'201507921,1
176,'010844,'201507921,5
177,'010905,'201701205,0
178,'010912,'201701205,1
179,'011001,'201708237,0
180,'011018,'201708237,1
181,'011025,'201708237,2
182,'011100,'201708238,0
183,'011117,'201708238,1
184,'011124,'201708238,2
185,'011209,'201708280,0
186,'011216,'201708280,28
187,'011308,'201708281,0
188,'011315,'201708281,28
189,'011407,'201902825,0
190,'011414,'201902825,70
191,'011605,'201902827,0
192,'011612,'201902827,70
193,'011704,'201902828,0
194,'011711,'201902828,70
195,'011803,'201902826,0
196,'011810,'201902826,70
197,'011902,'201906307,0
198,'011919,'201906307,1
199,'011926,'201906307,2
200,'012008,'201906308,0
201,'012015,'201906308,1
202,'012022,'201906308,2
203,'012107,'201905666,0
204,'012114,'201905666,1
205,'012121,'201905666,5
