,0,1
0,'000102,'200705082
1,'000119,'200705082
2,'000126,'199102607
3,'000133,'199102608
4,'000140,'199102608
5,'000157,'199102608
6,'000164,'199102608
7,'000171,'199803116
8,'000188,'200604109
9,'000195,'200604109
10,'000218,'200604109
11,'000225,'199702979
12,'000232,'199702979
13,'000249,'199702979
14,'000256,'199803109
15,'000263,'199803109
16,'000270,'199803109
17,'000287,'199803107
18,'000294,'199803107
19,'000317,'199803107
20,'000324,'199803107
21,'000331,'199803107
22,'000348,'199803107
23,'000355,'199803107
24,'000362,'199803107
25,'000379,'199803108
26,'000386,'199803108
27,'000393,'199803108
28,'000416,'199803108
29,'000423,'199803108
30,'000430,'199803108
