,0,1,2
0,'000101,'199704340,0
1,'000118,'199704340,1
2,'000200,'200008802,0
3,'000217,'200008802,84
4,'000224,'200008802,168
5,'000309,'199704339,0
6,'000316,'199704339,84
7,'000323,'199704339,168
8,'000408,'200710342,0
9,'000415,'200710342,28
10,'000507,'200710345,0
11,'000514,'200710345,14
12,'000606,'200710343,0
13,'000613,'200710343,28
14,'000705,'200710344,0
15,'000712,'200710344,28
16,'000804,'200511051,0
17,'000811,'200511051,10
18,'000828,'200511051,100
19,'000835,'200511051,10
20,'000842,'200511051,100
21,'000859,'200511051,30
22,'000903,'200209716,0
23,'000910,'200209716,10
24,'000927,'200209716,100
25,'000934,'200209716,10
26,'000941,'200209716,100
27,'000958,'200209716,30
28,'001009,'199504171,0
29,'001016,'199504171,10
30,'001023,'199504171,100
31,'001030,'199504171,10
32,'001047,'199504171,100
33,'001054,'199504171,30
34,'001108,'200410078,0
35,'001115,'200410078,10
36,'001122,'200410078,100
37,'001207,'200008817,0
38,'001214,'200008817,10
39,'001221,'200008817,100
40,'001238,'200008817,10
41,'001245,'200008817,100
42,'001252,'200008817,30
43,'001306,'200008818,0
44,'001313,'200008818,10
45,'001320,'200008818,100
46,'001337,'200008818,10
47,'001344,'200008818,100
48,'001351,'200008818,30
49,'001405,'200209717,0
50,'001412,'200209717,1
51,'001504,'199403126,0
52,'001511,'199403126,1
53,'001603,'200512258,0
54,'001610,'200512258,1
55,'001702,'200511054,0
56,'001719,'200511054,1
57,'001801,'199403125,0
58,'001818,'199403125,1
59,'001900,'200209711,0
60,'001917,'200209711,28
61,'002006,'200209712,0
62,'002013,'200209712,28
63,'002105,'200008804,0
64,'002112,'200008804,1
65,'002204,'200008805,0
66,'002211,'200008805,1
67,'002303,'200008806,0
68,'002310,'200008806,1
69,'002402,'200008807,0
70,'002419,'200008807,1
71,'002501,'200008816,0
72,'002518,'200008816,1
73,'002600,'199906948,0
74,'002617,'199906948,1
75,'002709,'199906947,0
76,'002716,'199906947,1
77,'002808,'199906946,0
78,'002815,'199906946,1
79,'002907,'199906942,0
80,'002914,'199906942,1
81,'003003,'200410080,0
82,'003010,'200410080,1
83,'003102,'200410079,0
84,'003119,'200410079,1
85,'003201,'199203396,0
86,'003300,'199906941,0
87,'003317,'199906941,1
88,'003324,'199906941,5
89,'003331,'199906941,50
90,'003409,'199504170,0
91,'003416,'199504170,1
92,'003508,'199203397,0
93,'003515,'199203397,1
94,'003522,'199203397,1
95,'003539,'199203397,1
96,'003546,'199203397,1
97,'003553,'199203397,1
98,'003560,'199203397,1
99,'003607,'200108807,0
100,'003614,'200108807,2
101,'003706,'200108808,0
102,'003713,'200108808,2
103,'003720,'200108808,4
104,'003805,'200008809,0
105,'003812,'200008809,1
106,'003904,'200008812,0
107,'003911,'200008812,30
108,'003928,'200008812,50
109,'004000,'200008811,0
110,'004017,'200008811,30
111,'004024,'200008811,50
112,'004109,'200008810,0
113,'004116,'200008810,30
114,'004123,'200008810,50
115,'004208,'200511052,0
116,'004215,'200511052,1
117,'004222,'200511052,5
118,'004307,'200511052,0
119,'004314,'200511052,1
120,'004321,'200511052,5
121,'004406,'200108806,0
122,'004413,'200108806,1
123,'004420,'200108806,5
124,'004505,'200108813,0
125,'004512,'200108813,1
126,'004529,'200108813,10
127,'004604,'200108812,0
128,'004611,'200108812,1
129,'004628,'200108812,10
130,'004703,'200108811,0
131,'004710,'200108811,1
132,'004727,'200108811,10
133,'004802,'200209713,0
134,'004819,'200209713,1
135,'004901,'200903046,0
136,'004918,'200903046,120
137,'005007,'200108804,0
138,'005014,'200108804,180
139,'005106,'199403123,0
140,'005113,'199403123,1
141,'005120,'199403123,25
142,'005205,'199403124,0
143,'005212,'199403124,1
144,'005229,'199403124,25
145,'005304,'200209715,0
146,'005311,'200209715,1
147,'005328,'200209715,1
148,'005403,'200008815,0
149,'005410,'200008815,1
150,'005427,'200008815,1
151,'005434,'200008815,1
152,'005441,'200008815,1
153,'005502,'199906953,0
154,'005519,'199906953,7
155,'005526,'199906953,14
156,'005601,'199806478,0
157,'005618,'199806478,1
158,'005700,'200307829,0
159,'005717,'200307829,14
160,'005724,'200307829,28
161,'005731,'200307829,100
162,'005809,'199906954,0
163,'005816,'199906954,14
164,'005823,'199906954,28
165,'005830,'199906954,100
166,'005908,'200307825,0
167,'005915,'200307825,1
168,'005922,'200307825,5
169,'005939,'200307825,10
170,'006004,'200307825,0
171,'006011,'200307825,1
172,'006028,'200307825,5
173,'006035,'200307825,10
174,'006103,'200307825,0
175,'006110,'200307825,1
176,'006127,'200307825,5
177,'006134,'200307825,10
178,'006202,'200307825,0
179,'006219,'200307825,1
180,'006226,'200307825,5
181,'006233,'200307825,10
182,'006301,'200108803,0
183,'006318,'200108803,1
184,'006400,'200307826,0
185,'006417,'200307826,70
186,'006424,'200307826,1
187,'006509,'200307827,0
188,'006516,'200307827,70
189,'006523,'200307827,1
190,'006608,'200307828,0
191,'006615,'200307828,70
192,'006622,'200307828,1
193,'006707,'200607388,0
194,'006714,'200607388,1
195,'006721,'200607388,1
196,'061102,'200804407,0
197,'061119,'200804407,10
198,'061126,'200804407,10
199,'061133,'200804407,30
200,'061140,'200804407,30
201,'061201,'200804408,0
202,'061218,'200804408,10
203,'061225,'200804408,10
204,'061232,'200804408,30
205,'061249,'200804408,30
206,'061300,'200804409,0
207,'061317,'200804409,10
208,'061324,'200804409,10
209,'061331,'200804409,30
210,'061348,'200804409,30
211,'061409,'200809445,0
212,'061416,'200809445,1
213,'061423,'200809445,5
214,'061430,'200809445,10
215,'061508,'200811255,0
216,'061515,'200811255,1
217,'061522,'200811255,5
218,'061539,'200811255,10
219,'061607,'200811255,0
220,'061614,'200811255,1
221,'061621,'200811255,5
222,'061638,'200811255,10
223,'061706,'199906949,0
224,'061805,'199504172,0
225,'062109,'199806479,0
226,'062208,'200603868,0
227,'062307,'201006966,0
228,'062314,'201006966,1
229,'062406,'200901196,0
230,'062505,'200610667,0
231,'062512,'200610667,20
232,'062529,'200610667,100
233,'062604,'201103840,0
234,'062611,'201103840,60
235,'062703,'201106064,0
236,'062802,'201205361,0
237,'062819,'201205361,100
238,'062901,'201205362,0
239,'062918,'201205362,100
240,'063007,'201205364,0
241,'063014,'201205364,100
242,'063106,'201302419,0
243,'063113,'201302419,30
244,'063205,'201400278,0
245,'063212,'201400278,100
246,'063229,'201400278,50
247,'063304,'201400279,0
248,'063311,'201400279,100
249,'063328,'201400279,50
250,'063403,'201400277,0
251,'063410,'201400277,100
252,'063427,'201400277,50
253,'063502,'201405257,0
254,'063519,'201405257,30
255,'063601,'201405256,0
256,'063618,'201405256,30
257,'063700,'201405411,0
258,'063717,'201405411,1
259,'063724,'201405411,16
260,'063809,'201405412,0
261,'063816,'201405412,1
262,'063823,'201405412,16
263,'063908,'200308577,0
264,'063915,'200308577,30
265,'064004,'201502706,0
266,'064011,'201502706,100
267,'064028,'201502706,500
268,'064035,'201502706,1000
269,'064103,'201504045,0
270,'064110,'201504045,30
271,'064202,'201706222,0
272,'064219,'201706222,30
273,'064301,'201708186,0
274,'064318,'201708186,1
275,'064325,'201708186,5
276,'064400,'201800009,0
277,'064417,'201800009,30
278,'064509,'201708320,0
279,'064516,'201708320,30
280,'064608,'201708321,0
281,'064615,'201708321,30
282,'064707,'201708319,0
283,'064714,'201708319,30
284,'064806,'201900291,0
285,'064813,'201900291,10
