,0,1
0,'000109,'198200347
1,'000116,'198200347
2,'000123,'198200347
3,'000130,'198200347
4,'000147,'198200347
5,'000154,'198800911
6,'000161,'198800911
7,'000178,'198800911
8,'000185,'198800911
9,'000192,'198800911
10,'000215,'198800911
11,'000222,'198800911
12,'000239,'198800911
13,'000246,'198800911
14,'000253,'198800911
15,'000260,'198800911
16,'000277,'198800911
17,'000284,'198800911
18,'000291,'198800911
19,'000314,'198800911
20,'000321,'198800911
21,'000338,'198800911
22,'000345,'198800911
23,'000352,'198800911
24,'000369,'198800911
25,'000376,'198800911
26,'000383,'198800911
27,'000390,'198800911
28,'000413,'198800911
29,'000420,'198800911
30,'000437,'198800911
31,'000444,'198800911
32,'000451,'198800911
33,'000468,'198800911
34,'000475,'198800911
35,'000482,'198800911
36,'000499,'198800911
37,'000505,'198800911
38,'000512,'198800911
39,'000529,'198800911
40,'000536,'198800911
41,'000543,'198800911
42,'000550,'198800911
43,'000567,'198800911
44,'000581,'198800911
45,'000611,'198800911
46,'000628,'198800911
47,'000710,'198800911
48,'000727,'198800911
49,'000734,'198800911
50,'000741,'198800911
51,'000758,'198800911
52,'000765,'198800911
53,'000772,'198800911
54,'000789,'198800911
55,'000796,'200606971
56,'000819,'200606971
57,'000826,'200606971
58,'000833,'200606971
59,'000840,'200606971
60,'000857,'200606971
61,'000864,'200606971
62,'000871,'200606971
63,'000888,'200606971
64,'000895,'200606971
65,'000918,'199701440
66,'000925,'199701440
67,'000932,'199701440
68,'000949,'199701440
69,'000956,'199701440
70,'000963,'199701440
71,'000970,'199701440
72,'000987,'199701440
73,'000994,'199701440
74,'001014,'199701440
75,'001021,'200600289
76,'001038,'200600289
77,'001045,'200401401
78,'001052,'200401401
79,'001069,'200401401
80,'001076,'200401401
81,'001083,'200401401
82,'001090,'200401401
83,'001106,'200401401
84,'001113,'200401401
85,'001120,'200401401
86,'001137,'200401401
87,'001144,'200401401
88,'001151,'200401401
89,'001168,'200401401
90,'001175,'200501305
91,'001182,'200501305
92,'001199,'200501305
93,'001212,'199701433
94,'001229,'199701433
95,'001311,'199701433
96,'001328,'199701433
97,'001335,'199701433
98,'001342,'199701433
99,'001359,'199501022
100,'001366,'199501022
101,'001373,'199501022
102,'001380,'199501022
103,'001397,'199501022
104,'001410,'199501022
105,'001427,'199501022
106,'001434,'199501022
107,'001441,'199501022
108,'001458,'199501022
109,'001465,'199501022
110,'001502,'199501022
111,'001519,'199501022
112,'001526,'199501022
113,'001533,'199501022
114,'001540,'200501289
115,'001557,'200501289
116,'001564,'199901289
117,'001571,'199901289
118,'001588,'199901289
119,'001595,'199901289
120,'001618,'199901289
121,'001625,'199901289
122,'001632,'199901289
123,'001649,'199901289
124,'001656,'199201214
125,'001663,'199201214
126,'001670,'199201214
127,'001687,'199201214
128,'001694,'199201214
129,'001717,'199201214
130,'001724,'199201214
131,'001731,'199201214
132,'001748,'199201214
133,'001809,'199201214
134,'001816,'199201214
135,'001823,'199201214
136,'001830,'199201214
137,'001847,'199201214
138,'001854,'199201214
139,'001861,'199201214
140,'001878,'199201214
141,'001885,'199201214
142,'001892,'199201214
143,'001915,'199201214
144,'001922,'199201214
145,'001939,'199201214
146,'001946,'199201214
147,'001953,'199201214
148,'001960,'199201214
149,'002004,'199201214
150,'002011,'199201214
151,'002028,'199201214
152,'002035,'199201214
153,'002042,'199201214
154,'002059,'200606579
155,'002066,'200606579
156,'002073,'200606579
157,'002080,'200606579
158,'002097,'200606579
159,'002110,'200606579
160,'002127,'200606579
161,'002134,'199501014
162,'002141,'199501014
163,'002158,'199501014
164,'002165,'199501014
165,'002172,'199501014
166,'002189,'199501014
