,0,1
0,'000100,'201603557
1,'000117,'201603557
2,'000209,'201603557
3,'000216,'201603557
4,'000223,'201603557
5,'000308,'201603557
6,'000315,'201603557
7,'000322,'201603557
8,'000407,'201603557
9,'000414,'201603557
10,'000421,'201603332
11,'000506,'201603332
12,'000513,'201603332
13,'000605,'201603332
14,'000612,'201603332
15,'000629,'201603332
16,'000704,'201603332
17,'000711,'201603332
18,'000728,'201603332
19,'000803,'201603332
20,'000810,'201603332
21,'000827,'201603332
22,'000902,'201603333
23,'000919,'201603333
24,'001008,'201603333
25,'001015,'201603333
26,'001022,'201603333
27,'001107,'201603333
28,'001114,'201603333
29,'001206,'201603333
30,'001213,'201603333
31,'001220,'201603333
32,'001305,'201603333
33,'001312,'201603333
34,'001329,'201603331
35,'001336,'201603331
36,'001343,'201603331
37,'001404,'201603331
38,'001411,'201603331
39,'001428,'201603331
40,'001435,'201603331
41,'001503,'201603331
42,'001510,'201603331
43,'001527,'201603331
44,'001534,'201603331
45,'001602,'201603331
46,'001619,'201602761
47,'001626,'201602761
48,'001633,'201602761
49,'001701,'201602761
50,'001718,'201602761
51,'001725,'201602761
52,'001800,'201602761
53,'001817,'201602761
54,'001824,'201602761
55,'001909,'201602761
56,'001916,'201602761
57,'001923,'201602761
58,'002005,'201602693
59,'002012,'201602693
60,'002029,'201602693
61,'002104,'201602693
62,'002111,'201602693
63,'002203,'201602693
64,'002210,'201602693
65,'002302,'201602693
66,'002319,'201602693
67,'002326,'201602693
68,'002401,'201602693
69,'002418,'201602693
70,'002500,'201604030
71,'002517,'201604030
72,'002609,'201604030
73,'002616,'201604030
74,'002708,'201604030
75,'002715,'201604030
76,'002807,'201604030
77,'002814,'201604030
78,'002906,'201604030
79,'002913,'201604030
80,'002920,'201604030
81,'003002,'201604030
82,'003019,'201604030
83,'003026,'201604030
84,'003101,'201604030
85,'003118,'201604030
86,'003125,'201604030
87,'003200,'201604030
88,'003217,'201604030
89,'003224,'201604030
90,'003309,'201604030
91,'003316,'201604030
92,'003323,'201604030
93,'003408,'201604030
94,'003415,'201604030
95,'003422,'201604030
96,'003507,'201604030
97,'003514,'201603571
98,'003521,'201603571
99,'003538,'201603571
100,'003606,'201603571
101,'003613,'201603571
102,'003620,'201603571
103,'003705,'201603571
104,'003712,'201603571
105,'003729,'201603571
106,'003804,'201603571
107,'003811,'201603571
108,'003903,'201603571
109,'003910,'201603571
110,'004009,'201603571
111,'004016,'201603571
112,'004108,'201603571
113,'004115,'201603476
114,'004207,'201603476
115,'004214,'201603476
116,'004306,'201603476
117,'004313,'201603476
118,'004405,'201603476
119,'004412,'201603476
120,'004429,'201603476
121,'004504,'201603476
122,'004511,'201603476
123,'004528,'201603476
124,'004603,'201603476
125,'004610,'201603476
126,'004627,'201603476
127,'004634,'201603476
128,'004641,'201603998
129,'004702,'201603998
130,'004719,'201603998
131,'004726,'201603998
132,'004733,'201603998
133,'004801,'201603998
134,'004818,'201603996
135,'004825,'201603996
136,'004900,'201603996
137,'004917,'201603996
138,'004924,'201603996
139,'004931,'201603996
140,'004948,'201604241
141,'005006,'201604241
142,'005013,'201604241
143,'005020,'201604241
144,'005105,'201604241
145,'005112,'201604241
146,'005204,'201604241
147,'005211,'201604241
148,'005303,'201604241
149,'005310,'201604241
150,'005402,'201604241
151,'005419,'201604241
152,'005426,'201604241
153,'005501,'201604241
154,'005518,'201604241
155,'005525,'201604241
156,'005600,'201604241
157,'005617,'201604241
158,'005709,'201604241
159,'005716,'201604241
160,'005808,'201604241
161,'005815,'201603986
162,'005822,'201603986
163,'005907,'201603986
164,'005914,'201603986
165,'005921,'201603986
166,'006003,'201603986
167,'006010,'201603986
168,'006027,'201603986
169,'006034,'201603986
170,'006102,'201603986
171,'006119,'201603986
172,'006126,'201603986
173,'006201,'201603986
174,'006218,'201603986
175,'006225,'201603986
176,'006232,'201603986
177,'006300,'201603531
178,'006317,'201603531
179,'006324,'201603531
180,'006409,'201603531
181,'006416,'201603531
182,'006423,'201603531
183,'006430,'201603531
184,'006508,'201603531
185,'006515,'201603531
186,'006522,'201603531
187,'006607,'201603531
188,'006614,'201603531
189,'006621,'201603531
190,'006706,'201603531
191,'006713,'201603531
192,'006720,'201603477
193,'006805,'201603477
194,'006812,'201603477
195,'006829,'201603477
196,'006836,'201603477
197,'006843,'201603477
198,'006904,'201603477
199,'006911,'201603477
200,'006928,'201603477
201,'007000,'201603477
202,'007017,'201603477
203,'007109,'201603477
204,'007116,'201603477
205,'007123,'201603477
206,'007208,'201603477
207,'007215,'201603477
208,'007307,'201603477
209,'007314,'201603477
210,'007321,'201602800
211,'007406,'201602800
212,'007413,'201602800
213,'007420,'201602800
214,'007505,'201602800
215,'007512,'201602800
216,'007529,'201602800
217,'007604,'201602800
218,'007611,'201602800
219,'007703,'201602800
220,'007710,'201603872
221,'007727,'201603872
222,'007802,'201603872
223,'007819,'201603872
224,'007826,'201603872
225,'007901,'201603872
226,'007918,'201603872
227,'008007,'201603334
228,'008014,'201603334
229,'008106,'201603334
230,'008113,'201603334
231,'008120,'201603334
232,'008137,'201603334
233,'008205,'201603334
234,'008212,'201603334
235,'008229,'201603334
236,'008236,'201603334
237,'008304,'201603334
238,'008311,'201603334
239,'008328,'201603334
240,'008403,'201603334
241,'008410,'201603334
242,'008427,'201602871
243,'008502,'201602871
244,'008519,'201602871
245,'008526,'201602871
246,'008601,'201602871
247,'008618,'201602871
248,'008625,'201602871
249,'008632,'201602871
250,'008700,'201602871
251,'008717,'201602871
252,'008724,'201602871
253,'008809,'201602871
254,'008816,'201602871
255,'008823,'201602871
256,'008908,'201602871
257,'008915,'201602763
258,'008922,'201602763
259,'009004,'201602763
260,'009011,'201602763
261,'009103,'201602763
262,'009110,'201602763
263,'009202,'201602763
264,'009219,'201602763
265,'009226,'201602763
266,'009301,'201602763
267,'009318,'201602763
268,'009325,'201602763
269,'009332,'201602764
270,'009400,'201602764
271,'009417,'201602764
272,'009424,'201602764
273,'009509,'201602764
274,'009516,'201602764
275,'009523,'201602762
276,'009530,'201602762
277,'009608,'201602762
278,'009615,'201602762
279,'009622,'201602762
280,'009639,'201602762
281,'009707,'201602762
282,'009714,'201602762
283,'009721,'201602762
284,'009806,'201602762
285,'009813,'201602762
286,'009820,'201602762
287,'009905,'201602762
288,'009912,'201602762
289,'009929,'201602762
290,'010000,'201602762
291,'010017,'201603479
292,'010024,'201603479
293,'010109,'201603479
294,'010116,'201603479
295,'010208,'201603479
296,'010215,'201603479
297,'010307,'201603479
298,'010314,'201603479
299,'010321,'201603479
300,'010338,'201603479
301,'010406,'201602765
302,'010413,'201602765
303,'010420,'201602765
304,'010505,'201602765
305,'010512,'201602765
306,'010529,'201602765
307,'010604,'201602765
308,'010611,'201602765
309,'010628,'201602765
310,'010703,'201602765
311,'010710,'201602765
312,'010727,'201602765
313,'010802,'201603563
314,'010819,'201603563
315,'010826,'201603563
316,'010901,'201603563
317,'010918,'201603563
318,'010925,'201603563
319,'011007,'201603563
320,'011014,'201603563
321,'011021,'201603563
322,'011038,'201604269
323,'011045,'201604269
324,'011106,'201604269
325,'011113,'201604269
326,'011120,'201604269
327,'011137,'201604269
328,'011144,'201603335
329,'011151,'201603335
330,'011205,'201603335
331,'011212,'201603335
332,'011304,'201603335
333,'011311,'201603335
334,'011328,'201603335
335,'011335,'201603335
336,'011403,'201603335
337,'011410,'201603475
338,'011502,'201603475
339,'011519,'201603475
340,'011526,'201603475
341,'011533,'201603475
342,'011601,'201603475
343,'011618,'201603475
344,'011625,'201603475
345,'011632,'201603475
346,'011649,'201603475
347,'011656,'201603475
348,'011700,'201603475
349,'011717,'201602547
350,'011724,'201602547
351,'011731,'201602547
352,'011809,'201602547
353,'011816,'201602547
354,'011823,'201602547
355,'011830,'201604270
356,'011847,'201604270
357,'011908,'201604270
358,'011915,'201604270
359,'011922,'201604270
360,'011939,'201604270
