,0,1
0,'000107,'199200291
1,'000114,'198800219
2,'000121,'198800219
3,'000138,'198800219
4,'000206,'199300299
5,'000213,'200200230
6,'000305,'200200230
7,'000404,'199800184
8,'000503,'199800184
9,'000510,'199300309
10,'000602,'199400240
11,'000619,'199400240
12,'000626,'199400240
13,'000701,'199400240
14,'000800,'199600262
15,'000909,'199600262
16,'000916,'199600262
17,'001005,'199200286
18,'001012,'199704681
19,'001029,'199704681
20,'001036,'199704681
21,'001104,'199704681
22,'001203,'199704681
23,'001302,'199704681
24,'001401,'199704681
25,'001500,'199000215
26,'001517,'199000215
27,'001609,'199000215
28,'001708,'199000215
29,'001715,'199000215
30,'001722,'199000215
31,'001739,'199000215
32,'001746,'199000215
33,'001807,'196600018
34,'001814,'197900066
35,'001906,'197900066
36,'002002,'197900066
37,'002101,'197900066
38,'002118,'197900066
39,'002125,'197900066
40,'002200,'197900066
41,'002217,'197900066
42,'002224,'199600260
43,'002309,'198300091
44,'002316,'198300091
45,'002323,'198300091
46,'002408,'198300091
47,'002415,'198300091
48,'002422,'198300091
49,'002507,'198300091
50,'002514,'198300091
51,'002521,'198300091
52,'002606,'198300091
53,'002613,'198300091
54,'002705,'198300091
55,'002712,'198300091
56,'002729,'198300091
57,'002804,'198300091
58,'002903,'198300091
59,'003009,'198300091
60,'003016,'198300091
61,'003108,'198300091
62,'003207,'198300091
63,'003306,'198300092
64,'003313,'198300092
65,'003320,'198300092
66,'003405,'198300092
67,'003504,'198300092
68,'003603,'198300092
69,'003610,'198300092
70,'003627,'198300092
71,'003634,'198300092
72,'003641,'198300092
73,'003702,'200500282
74,'003801,'200500282
75,'003900,'200500282
76,'004006,'200500282
77,'004105,'200500282
78,'004112,'200500282
79,'004204,'200500282
80,'004303,'200500282
81,'004310,'200500282
82,'004327,'200500282
83,'004402,'200500282
84,'004501,'200500282
85,'004600,'198900239
86,'004617,'198500099
87,'004624,'199800182
88,'004631,'199800182
89,'004709,'200400197
90,'004808,'200400197
91,'004907,'200400197
92,'004914,'200400197
93,'005003,'200400197
94,'005102,'200400197
95,'005201,'200500279
96,'005218,'199500220
97,'005225,'199400232
98,'005232,'199300296
99,'005300,'200200214
100,'005409,'200200214
101,'005416,'200200214
102,'005508,'200500283
103,'005607,'200500283
104,'005614,'200500283
105,'005621,'200500283
106,'005706,'200500283
107,'005805,'200500283
108,'005812,'200500283
109,'005829,'200500283
110,'005904,'200500283
111,'005911,'200500283
112,'005928,'200500283
113,'005935,'198500108
114,'006000,'199700374
115,'006017,'198800218
116,'006024,'199000207
117,'006109,'200500285
118,'006208,'199300306
119,'006215,'199300306
120,'006222,'199300306
121,'006239,'199300306
122,'006246,'199300306
123,'006253,'199300303
124,'006307,'199300303
125,'006314,'199300303
126,'006321,'199300303
127,'006406,'199300303
128,'006413,'199300303
129,'006505,'199300303
130,'006512,'199300303
131,'006529,'199300303
132,'006604,'199300303
133,'006703,'199300303
134,'006802,'199300303
135,'006901,'199300303
136,'006918,'199300303
137,'006925,'199300303
138,'006932,'199300303
139,'006949,'199300303
140,'006956,'199300303
141,'007007,'199300303
142,'007106,'199300303
143,'007205,'199300303
144,'007212,'199300303
145,'007229,'199300303
146,'007304,'199300303
147,'007403,'199300303
148,'007502,'199900185
149,'007601,'199900185
150,'007700,'199900185
151,'007809,'199900185
152,'007908,'199900185
153,'007915,'199900185
154,'007922,'199900185
155,'007939,'199900185
156,'008004,'199900185
157,'008011,'199900185
158,'008103,'199900185
159,'008202,'199900185
160,'008219,'199900185
161,'008301,'199900185
162,'008318,'199900185
163,'008325,'199900185
164,'008332,'199900185
165,'008400,'199900185
166,'008417,'199700379
167,'008424,'199700379
168,'008509,'199700379
169,'008608,'199700379
170,'008707,'199700379
171,'008806,'199700379
172,'008813,'199700379
173,'008820,'199700379
174,'008905,'199700379
175,'008912,'199700379
176,'009001,'199700379
177,'009018,'199700379
178,'009100,'199700379
179,'009209,'199700379
180,'009308,'199700379
181,'009407,'199700379
182,'009506,'199700379
183,'009605,'199700379
184,'009612,'199700379
185,'009629,'199700378
186,'009636,'199700378
187,'009643,'199700378
188,'009650,'199700378
189,'009704,'199700378
190,'009711,'199700378
191,'009728,'199700378
192,'009735,'199700378
193,'009742,'199700378
194,'009759,'199200281
195,'009803,'198800220
196,'009902,'198700150
197,'010007,'199400238
198,'010106,'199700376
199,'010205,'199200284
200,'010304,'200100233
201,'010403,'200108738
202,'010502,'200108738
203,'010526,'200108738
204,'010601,'200108738
205,'010700,'200108738
206,'010809,'200108738
207,'010908,'200108738
208,'011004,'198500106
209,'011011,'200801903
210,'011028,'200801903
211,'011035,'200801903
212,'011103,'200802501
213,'011110,'200802501
214,'011127,'200803616
215,'011134,'200803616
216,'011202,'200803805
217,'011301,'200803805
218,'011318,'200803805
219,'011325,'200803805
220,'011332,'200803805
221,'011349,'200803805
222,'011400,'200803805
223,'011509,'200803805
224,'011516,'200803805
