,0,1
0,'000100,'199304450
1,'000117,'199304450
2,'000209,'198300620
3,'000216,'198300620
4,'000223,'198300620
5,'000308,'198200421
6,'000315,'198200421
7,'000322,'198200421
8,'000407,'199701794
9,'000414,'199701794
10,'000421,'199701794
11,'000506,'199101550
12,'000513,'199101550
13,'000520,'199101550
14,'000605,'199101550
15,'000612,'199101550
16,'000629,'199101550
17,'000704,'200101880
18,'000711,'200101880
19,'000728,'200101880
20,'000803,'200101880
21,'000810,'200101880
22,'000827,'200101880
23,'000902,'200708689
24,'000919,'200708689
25,'000926,'200708689
26,'001008,'200708689
27,'001015,'200708689
28,'001022,'200708689
29,'001039,'200708689
30,'001107,'198500977
31,'001114,'198500977
32,'001121,'198500977
33,'001206,'198200422
34,'001213,'198200422
35,'001220,'198200422
36,'001305,'199401221
37,'001312,'199401221
38,'001312,'199401221
39,'001312,'199401221
40,'001312,'199401221
41,'001312,'199401221
42,'001329,'199401221
43,'001329,'199401221
44,'001329,'199401221
45,'001329,'199401221
46,'001329,'199401221
47,'001404,'199401223
48,'001411,'199401223
49,'001428,'199401223
50,'001503,'199701793
51,'001510,'199701793
52,'001527,'199701793
53,'001602,'198801336
54,'001619,'198801336
55,'001626,'198801336
56,'001701,'199601552
57,'001718,'199601552
58,'001725,'199601552
59,'001800,'198300621
60,'001817,'198300621
61,'001824,'198300621
62,'001909,'198600921
63,'001916,'198600921
64,'001923,'198600921
65,'002005,'198000315
66,'002012,'198000315
67,'002029,'198000315
68,'002104,'200501751
69,'002111,'200501751
70,'002128,'200501751
71,'002203,'200501751
72,'002210,'200501751
73,'002227,'200501751
74,'002234,'200501751
75,'002302,'200606314
76,'002319,'200606314
77,'002326,'200606314
78,'002401,'199901839
79,'002418,'199901839
80,'002425,'199901839
81,'002500,'199901839
82,'002517,'199901839
83,'002524,'199901839
84,'002609,'200808142
85,'002616,'200808142
86,'002623,'200808142
87,'002630,'200808142
88,'002708,'200906922
89,'002715,'200906922
90,'002722,'200906922
91,'002739,'200906922
92,'002807,'201004660
93,'002814,'201004660
94,'002821,'201004660
95,'002838,'201004660
96,'002906,'201004451
97,'002913,'201004451
98,'002920,'201004451
99,'003002,'201004451
100,'003019,'201004451
101,'003026,'201004451
102,'003101,'201004575
103,'003118,'201004575
104,'003125,'201004575
105,'003200,'200906921
106,'003217,'200906921
107,'003224,'200906921
108,'003309,'200808142
109,'003316,'200808142
110,'003323,'200808142
111,'003408,'200906922
112,'003415,'200906922
113,'003422,'200906922
114,'003439,'200906922
115,'003507,'201402971
116,'003507,'201402971
117,'003514,'201402971
118,'003514,'201402971
119,'003521,'201402971
120,'003521,'201402971
121,'003538,'201402971
122,'003538,'201402971
123,'003545,'201402971
124,'003545,'201402971
125,'003606,'201604421
126,'003613,'201604421
127,'003620,'201604421
128,'003705,'201703044
129,'003712,'201703044
130,'003729,'201703044
