,0,1,2
0,'000105,'199102057,0
1,'000112,'199102057,1
2,'000204,'199102057,0
3,'000211,'199102057,1
4,'000303,'199102057,0
5,'000310,'199102057,1
6,'000402,'199102057,0
7,'000419,'199102057,1
8,'000501,'200202082,0
9,'000518,'200202082,1
10,'000600,'200202082,0
11,'000617,'200202082,1
12,'000709,'200202082,0
13,'000716,'200202082,1
14,'000808,'200202084,0
15,'000815,'200202084,1
16,'000907,'200202084,0
17,'000914,'200202084,1
18,'001003,'200202084,0
19,'001010,'200202084,1
20,'001102,'200202084,0
21,'001119,'200202084,1
22,'001201,'200109870,0
23,'001218,'200109870,1
24,'001300,'200109870,0
25,'001317,'200109870,1
26,'001409,'199702327,0
27,'001416,'199702327,1
28,'001508,'199702327,0
29,'001515,'199702327,1
30,'001607,'199702327,0
31,'001614,'199702327,1
32,'001706,'199602123,0
33,'001713,'199602123,1
34,'001805,'199602123,0
35,'001812,'199602123,1
36,'001904,'199602123,0
37,'001911,'199602123,1
38,'002000,'199602123,0
39,'002017,'199602123,1
40,'002109,'199401614,0
41,'002116,'199401614,1
42,'002208,'199401614,0
43,'002215,'199401614,1
44,'002307,'199401614,0
45,'002314,'199401614,1
46,'002406,'199401614,0
47,'002413,'199401614,1
48,'002505,'199302248,0
49,'002512,'199302248,1
50,'002604,'199302248,0
51,'002611,'199302248,1
52,'002703,'199302248,0
53,'002710,'199302248,1
54,'002802,'199302248,0
55,'002819,'199302248,1
56,'002901,'200109871,0
57,'002918,'200109871,1
58,'003007,'200109871,0
59,'003014,'200109871,1
60,'003106,'200109871,0
61,'003113,'200109871,1
62,'003205,'199102056,0
63,'003212,'199102056,1
64,'003304,'199102056,0
65,'003311,'199102056,1
66,'003403,'200604122,0
67,'003410,'200604122,1
68,'003502,'200604122,0
69,'003519,'200604122,1
70,'003601,'200604122,0
71,'003618,'200604122,1
72,'003700,'200605316,0
73,'003717,'200605316,1
74,'003809,'200605316,0
75,'003816,'200605316,1
76,'003908,'200605314,0
77,'003915,'200605314,1
78,'004004,'200605314,0
79,'004011,'200605314,1
80,'004103,'200605314,0
81,'004110,'200605314,1
82,'004202,'200605315,0
83,'004219,'200605315,1
84,'004301,'200605315,0
85,'004318,'200605315,1
86,'004400,'200102360,0
87,'004417,'200102360,1
88,'004509,'200301715,0
89,'004516,'200301715,1
90,'004608,'200301715,0
91,'004615,'200301715,1
92,'004707,'200301715,0
93,'004714,'200301715,1
94,'004806,'200301712,0
95,'004813,'200301712,1
96,'004905,'200301712,0
97,'004912,'200301712,1
98,'005001,'200301712,0
99,'005018,'200301712,1
100,'005100,'200301712,0
101,'005117,'200301712,1
102,'005209,'200202079,0
103,'005216,'200202079,1
104,'005308,'200202079,0
