,0,1
0,'000100,'199600810
1,'000117,'199600814
2,'000124,'199600815
3,'000131,'2030
4,'000209,'2030
5,'000216,'2030
6,'000308,'2031
7,'000407,'2031
8,'000414,'200001174
9,'000506,'200001174
10,'000513,'2033
11,'000520,'2033
12,'000537,'199701052
13,'000605,'199800930
14,'000612,'200001180
15,'000629,'200200717
16,'000704,'200200717
17,'000803,'200905274
18,'000902,'200905274
19,'000919,'201003737
20,'000926,'201003737
21,'000940,'201003737
22,'000957,'201003737
23,'001008,'200804775
24,'001015,'200804775
25,'001022,'200809038
26,'001039,'200809038
27,'001046,'200809039
28,'001107,'200809039
29,'001206,'200900450
30,'001305,'200900450
31,'001404,'200904453
32,'001411,'200905051
33,'001428,'200905088
34,'001435,'200905108
35,'001442,'200905116
36,'001503,'200905193
37,'001602,'200905200
38,'001619,'200905755
39,'001626,'201004752
40,'001701,'201001934
41,'001718,'201001934
42,'001725,'201001934
43,'001732,'201001934
44,'001800,'201100900
45,'001817,'201100900
46,'001824,'201100900
47,'001909,'201100900
48,'002005,'201100900
49,'002104,'201100900
50,'002111,'201105484
51,'002128,'201105484
52,'002203,'201110408
53,'002302,'201110408
54,'002401,'201110408
55,'002500,'201110408
56,'002609,'201110408
57,'002708,'201110408
58,'002715,'201110408
59,'002722,'201110408
60,'002739,'201110408
61,'002807,'201110408
62,'002814,'201110408
63,'002821,'201110408
64,'002906,'201110408
65,'003002,'201110408
66,'003019,'201110408
67,'003026,'201110408
68,'003101,'201110408
69,'003118,'201110408
70,'003125,'201200365
71,'003132,'201200365
72,'003200,'201200365
73,'003217,'201200365
74,'003224,'201200365
75,'003231,'201200365
76,'003248,'201200365
77,'003255,'201200365
78,'003309,'201200365
79,'003316,'201200365
80,'003323,'201200365
81,'003330,'201200365
82,'003347,'201200365
83,'003354,'201200365
84,'003361,'201200365
85,'003408,'201200365
86,'003415,'201200365
87,'003422,'201200365
88,'003439,'201200365
89,'003446,'201200365
90,'003507,'201206020
91,'003514,'201206020
92,'003521,'201200365
93,'003538,'201200365
94,'003606,'201200365
95,'003705,'201200365
96,'003804,'201200365
97,'003903,'201200365
98,'004009,'201200365
99,'004016,'201200365
100,'004023,'201200365
101,'004108,'201200365
102,'004207,'201200365
103,'004214,'201200365
104,'004221,'201200365
105,'004306,'201200365
106,'004313,'201200365
107,'004320,'201200365
108,'004405,'201200365
109,'004412,'201200365
110,'004504,'201200365
111,'004511,'201306289
112,'004528,'201306289
113,'004603,'201306289
114,'004610,'201306289
115,'004627,'201306289
116,'004634,'201306289
117,'004702,'201306379
118,'004719,'201306379
119,'004726,'201306379
120,'004733,'201306379
121,'004801,'201306379
122,'004818,'201306379
123,'004825,'201307567
124,'004832,'201307567
125,'004900,'201307567
126,'005006,'201307567
127,'005105,'201307567
128,'005112,'201307567
129,'005129,'201200365
130,'005204,'201200365
131,'005303,'201200365
132,'005402,'201200365
133,'005419,'201200365
134,'005426,'201200365
135,'005433,'201200365
136,'005440,'201200365
137,'005501,'201200365
138,'005600,'201200365
139,'005617,'201200365
140,'005624,'201200365
141,'005631,'201200365
142,'005709,'201200365
143,'005716,'201200365
144,'005723,'201200365
145,'005730,'201200365
146,'005808,'201307602
147,'005815,'201307602
148,'005822,'201307602
149,'005839,'201307602
150,'005907,'201307602
151,'005914,'201307602
152,'006003,'201307602
153,'006010,'201307602
154,'006027,'201307602
155,'006102,'201307602
156,'006201,'201307602
157,'006218,'201307602
158,'006225,'201309070
159,'006300,'201309070
160,'006317,'201309070
161,'006324,'201309070
162,'006409,'201309070
163,'006416,'201309070
164,'006508,'201309071
165,'006607,'201309071
166,'006614,'201309071
167,'006706,'201309071
168,'006713,'201309071
169,'006805,'201309071
170,'006812,'201309071
171,'006829,'201309071
172,'006836,'201310388
173,'006843,'201310388
174,'006904,'201310388
175,'007000,'201310388
176,'007017,'201310388
177,'007024,'201310388
