,0,1
0,'000107,'200301568
1,'000114,'200410855
2,'000206,'200410855
3,'000213,'200410855
4,'000220,'200410855
5,'000305,'200201812
6,'000312,'200201812
7,'000329,'200201812
8,'000336,'200512323
9,'000343,'200512323
10,'000350,'200512323
11,'000367,'200512323
12,'003009,'200512323
13,'005805,'200512323
14,'005812,'198100369
15,'005904,'199601938
16,'005911,'199601938
17,'006307,'200102181
18,'006314,'200702392
19,'006406,'200702506
20,'006413,'200702507
21,'006505,'200002568
22,'006512,'200709950
23,'006604,'200709950
24,'006611,'200709950
25,'006703,'200402306
26,'006710,'200501935
27,'007304,'199902103
28,'007311,'199902103
29,'007328,'199902103
30,'007403,'199902103
31,'007410,'200201817
32,'007427,'200201817
33,'007502,'199401516
34,'007519,'199401516
35,'007601,'199401516
36,'007618,'199401516
37,'007700,'199401516
38,'007717,'199401516
39,'007809,'200704284
40,'007816,'200704284
41,'007908,'200704284
42,'007915,'200704284
43,'007922,'200704284
44,'007939,'200704284
45,'007946,'200704284
46,'007953,'200704284
47,'007960,'200704284
48,'008004,'200402286
49,'008011,'200402286
50,'008028,'200402286
51,'008103,'200402286
52,'008110,'200402286
53,'008202,'200402286
54,'008219,'200402286
55,'008226,'200402286
56,'008233,'200703343
57,'008301,'200703343
58,'008318,'200301570
59,'008325,'200702083
60,'008332,'200102164
61,'008349,'200102164
62,'008400,'199801972
63,'008417,'199801972
64,'008424,'199801972
65,'008431,'199801972
66,'008509,'199801972
67,'008516,'199801972
68,'008523,'199801972
69,'008530,'199801972
70,'008608,'199801972
71,'008615,'200301575
72,'008622,'200501923
73,'008707,'200501947
74,'008714,'200501947
75,'008721,'200501947
76,'008738,'200501947
77,'008745,'200501947
78,'008806,'200501947
79,'008813,'200501947
80,'008820,'200501947
81,'008837,'200501947
82,'008844,'200501947
83,'008851,'200301571
84,'008868,'200301571
85,'008875,'200301571
86,'008882,'200501933
87,'008899,'199907324
88,'008912,'199907324
89,'008929,'199907324
90,'008936,'199907324
91,'008943,'200501942
92,'009001,'200501942
93,'009018,'200501942
94,'009025,'200301578
95,'009032,'199902104
96,'009049,'200501924
97,'009056,'200702082
98,'009063,'200702082
99,'009100,'200308514
100,'009117,'200308514
101,'009124,'200308514
102,'009131,'200308514
103,'009209,'200308514
104,'009216,'200308514
105,'009308,'198200503
106,'009315,'200804773
107,'009322,'200804773
108,'009407,'200804916
109,'009414,'200804916
110,'009421,'200804916
111,'009438,'200804916
112,'009445,'200804916
113,'009506,'200804916
114,'009513,'200804916
115,'009520,'200804917
116,'009537,'200804917
117,'009544,'200804917
118,'009551,'200804917
119,'009605,'200804917
120,'009612,'200804917
121,'009629,'200712322
122,'009636,'200712322
123,'009643,'200712322
124,'009704,'200712322
125,'009711,'200712322
126,'009728,'200712322
127,'009735,'200712322
128,'009742,'200712323
129,'009803,'200712323
