,0,1,2
0,'000102,'200100424,0
1,'000119,'200100424,30
2,'000126,'200100424,100
3,'000133,'200100424,500
4,'000140,'200100424,5
5,'000201,'198500245,0
6,'000218,'198500245,30
7,'000225,'198500245,100
8,'000232,'198500245,35
9,'000249,'198500245,1
10,'000256,'198500245,100
11,'000300,'199200475,0
12,'000317,'199200475,30
13,'000324,'199200475,100
14,'000331,'199200475,500
15,'000348,'199200475,5
16,'000409,'199800519,0
17,'000416,'199800519,30
18,'000423,'199800519,100
19,'000430,'199800519,500
20,'000447,'199800519,300
21,'000454,'199800519,5
22,'000508,'200500482,0
23,'000515,'200500482,30
24,'000522,'200500482,100
25,'000539,'200500482,500
26,'000607,'199300516,0
27,'000614,'199300516,30
28,'000621,'199300516,100
29,'000638,'199300516,500
30,'000645,'199300516,1
31,'000706,'199400392,0
32,'000713,'199400392,30
33,'000720,'199400392,100
34,'000737,'199400392,500
35,'000744,'199400392,10
36,'000805,'200000601,0
37,'000812,'200000601,100
38,'000829,'200000601,100
39,'000836,'200000601,300
40,'000843,'200000601,10
41,'000850,'200000601,210
42,'000867,'200000601,1
43,'000904,'200612743,0
44,'000911,'200612743,30
45,'000928,'200612743,100
46,'000935,'200612743,100
47,'000942,'200612743,5
48,'001000,'199800514,0
49,'001017,'199800514,30
50,'001024,'199800514,100
51,'001031,'199800514,500
52,'001109,'199200474,0
53,'001116,'199200474,30
54,'001123,'199200474,100
55,'001130,'199200474,500
56,'001147,'199200474,100
57,'001154,'199200474,14
58,'001161,'199200474,70
59,'001178,'199200474,60
60,'001208,'200100431,0
61,'001215,'200100431,30
62,'001222,'200100431,100
63,'001239,'200100431,500
64,'001246,'200100431,5
65,'001253,'200100431,300
66,'001307,'199400390,0
67,'001314,'199400390,30
68,'001321,'199400390,100
69,'001338,'199400390,500
70,'001406,'200607709,0
71,'001413,'200607709,30
72,'001420,'200607709,100
73,'001437,'200607709,300
74,'001444,'200607709,5
75,'001505,'199500348,0
76,'001512,'199500348,60
77,'001604,'200709250,0
78,'001611,'200709250,30
79,'001628,'200709250,100
80,'001635,'200709250,5
81,'001703,'200400392,0
82,'001710,'200400392,30
83,'001727,'200400392,100
84,'001734,'200400392,300
85,'001741,'200400392,500
86,'001758,'200400392,5
87,'001802,'198300174,0
88,'001819,'198300174,30
89,'001826,'198300174,100
90,'001833,'198300174,100
91,'001901,'200902213,0
92,'001918,'200902213,30
93,'001925,'200902213,100
94,'001932,'200902213,500
95,'002007,'199800520,0
96,'002014,'199800520,1
97,'002021,'199800520,10
98,'002038,'199800520,10
99,'002106,'198600267,0
100,'002113,'198600267,1
101,'002120,'198600267,10
102,'002205,'200000603,0
103,'002212,'200000603,30
104,'002229,'200000603,100
105,'002236,'200000603,500
106,'002304,'200300313,0
107,'002311,'200300313,30
108,'002328,'200300313,100
109,'002335,'200300313,500
110,'002342,'200300313,100
111,'002359,'200300313,5
112,'002403,'200100429,0
113,'002410,'200100429,30
114,'002427,'200100429,500
115,'002434,'200100429,5
116,'002441,'200100429,100
117,'002502,'199400394,0
118,'002519,'199400394,30
119,'002526,'199400394,1000
120,'002533,'199400394,100
121,'002540,'199400394,5
122,'002601,'200710887,0
123,'002618,'200710887,30
124,'002625,'200710887,100
125,'002700,'200707943,0
126,'002717,'200707943,30
127,'002724,'200707943,100
128,'002731,'200707943,500
129,'002809,'199200476,0
130,'002816,'199200476,30
131,'002823,'199200476,100
132,'002830,'199200476,500
133,'002908,'200600094,0
134,'002915,'200600094,30
135,'002922,'200600094,100
136,'002939,'200600094,5
137,'003004,'200707944,0
138,'003011,'200707944,30
139,'003028,'200707944,100
140,'003035,'200707944,500
141,'003042,'200707944,10
142,'003059,'200707944,20
143,'003066,'200707944,30
144,'003103,'199700579,0
145,'003110,'199700579,30
146,'003127,'199700579,100
147,'003134,'199700579,500
148,'003141,'199700579,100
149,'003202,'200703870,0
150,'003219,'200703870,30
151,'003226,'200703870,100
152,'003233,'200703870,300
153,'003301,'198900392,0
154,'003318,'198900392,30
155,'003325,'198900392,100
156,'003332,'198900392,1000
157,'003400,'199700581,0
158,'003417,'199700581,30
159,'003424,'199700581,100
160,'003431,'199700581,100
161,'003448,'199700581,500
162,'003509,'198500241,0
163,'003516,'198500241,30
164,'003523,'198500241,100
165,'003530,'198500241,1000
166,'003547,'198500241,10
167,'003554,'198500241,20
168,'003561,'198500241,30
169,'003578,'198500241,500
170,'003608,'200300312,0
171,'003615,'200300312,30
172,'003622,'200300312,100
173,'003707,'200200375,0
174,'003714,'200200375,30
175,'003721,'200200375,500
176,'003738,'200200375,300
177,'003745,'200200375,5
178,'003806,'198300175,0
179,'003813,'198300175,100
180,'003820,'198300175,100
181,'003837,'198300175,500
182,'003905,'200810440,0
183,'003912,'200810440,30
184,'004001,'200810439,0
185,'004100,'199900392,0
186,'004117,'199900392,1
187,'004124,'199900392,50
188,'004209,'198900396,0
189,'004216,'198900396,1
190,'004223,'198900396,20
191,'004230,'198900396,25
192,'004308,'198900395,0
193,'004315,'198900395,1
194,'004322,'198900395,10
195,'004407,'200500480,0
196,'004414,'200500480,100
197,'004506,'199000393,0
198,'004513,'199000393,1
199,'004520,'199000393,50
200,'004605,'200502498,0
201,'004612,'200502498,1
202,'004629,'200502498,42
203,'004704,'198300176,0
204,'004711,'198300176,100
205,'004803,'200610970,0
206,'004902,'199900393,0
207,'004919,'199900393,1
208,'004926,'199900393,10
209,'005008,'198401396,0
210,'005015,'198401396,60
211,'005022,'198401396,60
212,'005039,'198401396,1
213,'005046,'198401396,100
214,'005053,'198401396,500
215,'005060,'198401396,60
216,'005077,'198401396,120
217,'005206,'200100421,0
218,'005305,'198800357,0
219,'005312,'198800357,100
220,'005404,'198400202,0
221,'005411,'198400202,50
222,'005428,'198400202,100
223,'005435,'198400202,1
224,'005503,'199400399,0
225,'005510,'199400399,1
226,'005527,'199400399,10
227,'005602,'200300308,0
228,'005619,'200300308,30
229,'005626,'200300308,100
230,'005701,'200706537,0
231,'005718,'200706537,30
232,'005725,'200706537,100
233,'005732,'200706537,5
234,'005800,'200400387,0
235,'005817,'200400387,30
236,'005824,'200400387,100
237,'005831,'200400387,300
238,'005848,'200400387,5
239,'005909,'198800355,0
240,'005916,'198800355,100
241,'005923,'198800355,1000
242,'006005,'200803803,0
243,'006012,'200803803,30
244,'006029,'200803803,300
245,'006036,'200803803,5
246,'006043,'200803803,100
247,'006104,'200805166,0
248,'006111,'200805166,10
249,'006128,'200805166,100
250,'006203,'199100471,0
251,'006210,'199100471,100
252,'006227,'199100471,100
253,'006234,'199100471,1000
254,'006241,'199100471,30
255,'006302,'199300537,0
256,'006319,'199300537,30
257,'006401,'200100422,0
258,'006418,'200100422,100
259,'006500,'200200380,0
260,'006517,'200200380,100
261,'006609,'200900280,0
262,'006616,'200900280,50
263,'006623,'200900280,100
264,'006708,'200600098,0
265,'006715,'200600098,100
266,'006807,'200704320,0
267,'006814,'200704320,28
268,'006821,'200704320,7
269,'006906,'200200378,0
270,'006913,'200200378,100
271,'007002,'200600095,0
272,'007019,'200600095,1
273,'007026,'200600095,10
274,'007101,'200600096,0
275,'007118,'200600096,1
276,'007125,'200600096,1
277,'007200,'200600097,0
278,'007217,'200600097,1
279,'007224,'200600097,1
280,'007309,'200802701,0
281,'007408,'200703038,0
282,'007507,'200400394,0
283,'007606,'200200379,0
284,'007705,'200807697,0
285,'007804,'200500481,0
286,'007903,'200713027,0
287,'008009,'200802702,0
288,'008108,'200701246,0
289,'008115,'200701246,30
290,'008122,'200701246,100
291,'008139,'200701246,500
292,'008146,'200701246,5
293,'008153,'200701246,300
294,'008207,'200808136,0
295,'008306,'200808135,0
296,'008405,'200811815,0
297,'008504,'200811634,0
298,'008603,'200605362,0
299,'008702,'200607710,0
300,'008801,'199100466,0
301,'008900,'200810504,0
302,'008917,'200810504,60
303,'009006,'200500476,0
304,'009013,'200500476,30
305,'009020,'200500476,500
306,'009105,'200809675,0
307,'009204,'200500479,0
308,'009211,'200500479,10
309,'009228,'200500479,100
310,'009303,'200300314,0
311,'009402,'200400388,0
312,'009419,'200400388,30
313,'009426,'200400388,200
314,'009501,'200300309,0
315,'009600,'200200377,0
316,'009617,'200200377,30
317,'009624,'200200377,100
318,'009709,'200100420,0
319,'009808,'200703132,0
320,'009815,'200703132,28
321,'009822,'200703132,112
322,'009839,'200703132,28
323,'009846,'200703132,7
324,'009907,'200300316,0
325,'010002,'200800285,0
326,'010019,'200800285,4
327,'010101,'200712149,0
328,'010200,'200400391,0
329,'010217,'200400391,1
330,'010224,'200400391,5
331,'010309,'200701023,0
332,'010316,'200701023,30
333,'010323,'200701023,30
334,'010330,'200701023,90
335,'010408,'200500474,0
336,'010415,'200500474,30
337,'010422,'200500474,300
338,'010507,'199800512,0
339,'010606,'200703835,0
340,'010705,'201003522,0
341,'010804,'201002300,0
342,'010811,'201002300,10
343,'010903,'201003521,0
344,'011009,'201003532,0
345,'011108,'201003533,0
346,'011207,'201003534,0
347,'011306,'201004083,0
348,'011405,'201004084,0
349,'011504,'201004089,0
350,'011603,'201004090,0
351,'011702,'201004091,0
352,'011801,'201004523,0
353,'011900,'201004969,0
354,'011917,'201004969,100
355,'012006,'201107543,0
356,'012013,'201107543,10
357,'012020,'201107543,30
358,'012037,'201107543,40
359,'012044,'201107543,50
360,'012051,'201107543,100
361,'012105,'201107516,0
362,'012112,'201107516,10
363,'012129,'201107516,30
364,'012136,'201107516,40
365,'012143,'201107516,50
366,'012150,'201107516,100
367,'012204,'201206120,0
368,'012303,'201307570,0
369,'012310,'201307570,30
370,'012327,'201307570,100
371,'012334,'201307570,5
372,'012402,'201401226,0
373,'012419,'201401226,28
374,'012501,'201401227,0
375,'012518,'201401227,28
376,'012600,'201401085,0
377,'012709,'201400191,0
378,'012808,'201400314,0
379,'012907,'200902438,0
380,'012914,'200902438,120
381,'012921,'200902438,240
382,'012938,'200902438,120
383,'012945,'200902438,240
384,'012969,'200902438,100
385,'013003,'200707312,0
386,'013010,'200707312,100
387,'013027,'200707312,200
388,'013102,'201401921,0
389,'013119,'201401921,28
390,'013126,'201401921,14
391,'013201,'201401860,0
392,'013300,'200713741,0
393,'013317,'200713741,120
394,'013324,'200713741,240
395,'013409,'201402617,0
396,'013416,'201402617,1
397,'013423,'201402617,10
398,'013508,'201402618,0
399,'013515,'201402618,1
400,'013522,'201402618,10
401,'013607,'201403243,0
402,'013614,'201403243,30
403,'013621,'201403243,500
404,'013706,'201403299,0
405,'013713,'201403299,100
406,'013805,'201403300,0
407,'013812,'201403300,60
408,'013904,'201403891,0
409,'013911,'201403891,30
410,'013928,'201403891,100
411,'014000,'201403889,0
412,'014017,'201403889,30
413,'014024,'201403889,100
414,'014031,'201403889,5
415,'014109,'201404882,0
416,'014116,'201404882,30
417,'014208,'201404883,0
418,'014215,'201404883,30
419,'014307,'201501268,0
420,'014314,'201501268,1
421,'014321,'201501268,10
422,'014406,'201502680,0
423,'014413,'201502680,1
424,'014505,'201502939,0
425,'014512,'201502939,1
426,'014604,'201502419,0
427,'014611,'201502419,28
428,'014628,'201502419,100
429,'014703,'201503031,0
430,'014710,'201503031,1
431,'014802,'201503304,0
432,'014819,'201503304,30
433,'014826,'201503304,10
434,'014833,'201503304,28
435,'014901,'201503305,0
436,'014918,'201503305,8
437,'014925,'201503305,4
438,'015007,'201503647,0
