,0,1,2
0,'000108,'200410336,0
1,'000115,'200410336,1
2,'000122,'200410336,1
3,'000207,'200210108,0
4,'000214,'200210108,1
5,'000306,'199907082,0
6,'000313,'199907082,90
7,'000405,'199907081,0
8,'000412,'199907081,90
9,'000504,'199907080,0
10,'000511,'199907080,90
11,'000603,'200210109,0
12,'000610,'200210109,1
13,'000627,'200210109,5
14,'000702,'200210110,0
15,'000719,'200210110,1
16,'000801,'200210112,0
17,'000818,'200210112,1
18,'000825,'200210112,5
19,'000900,'200210111,0
20,'000917,'200210111,1
21,'000924,'200210111,5
22,'001006,'199504255,0
23,'001013,'199504255,1
24,'001020,'199504255,5
25,'001105,'199504256,0
26,'001112,'199504256,1
27,'001129,'199504256,5
28,'001204,'199504257,0
29,'001211,'199504257,1
30,'001228,'199504257,5
31,'001303,'199504257,0
32,'001310,'199504257,1
33,'001327,'199504257,5
34,'001402,'199504254,0
35,'001419,'199504254,1
36,'001426,'199504254,5
37,'001501,'199504253,0
38,'001518,'199504253,1
39,'001525,'199504253,5
40,'001600,'200307983,0
41,'001617,'200307983,1
42,'001624,'200307983,5
43,'001709,'199806684,0
44,'001716,'199806684,1
45,'001808,'199806685,0
46,'001815,'199806685,1
47,'001907,'199806683,0
48,'001914,'199806683,1
49,'002003,'200603934,0
50,'002010,'200603934,1
51,'002027,'200603934,5
52,'002102,'200109130,0
53,'002119,'200109130,1
54,'002126,'200109130,5
55,'002201,'199504334,0
56,'002218,'199504334,1
57,'002300,'200009045,0
58,'002317,'200009045,1
59,'002409,'199907083,0
60,'002416,'199907083,28
61,'002508,'199806681,0
62,'002515,'199806681,28
63,'002607,'199806682,0
64,'002614,'199806682,28
65,'002706,'200109131,0
66,'002713,'200109131,1
67,'002720,'200109131,5
68,'002805,'199504265,0
69,'002812,'199504265,1
70,'002904,'199504262,0
71,'002911,'199504262,28
72,'003000,'199504263,0
73,'003017,'199504263,28
74,'003208,'200806370,0
75,'003215,'200806370,15
76,'003307,'200806023,0
77,'003314,'200806023,1
78,'003321,'200806023,5
79,'003406,'200805983,0
80,'003413,'200805983,1
81,'003420,'200805983,5
82,'003604,'199504264,0
83,'003703,'200009046,0
84,'003802,'199504340,0
85,'003901,'200009044,0
86,'004007,'199504260,0
87,'004106,'199504258,0
88,'004205,'199504259,0
89,'004304,'199504337,0
90,'004403,'199504336,0
91,'004502,'199504339,0
92,'004601,'199403359,0
93,'004908,'201003758,0
94,'004915,'201003758,1
95,'005004,'201003758,0
96,'005011,'201003758,1
97,'005103,'201003758,0
98,'005110,'201003758,1
99,'005202,'201005882,0
100,'005219,'201005882,1
101,'005226,'201005882,2
102,'005233,'201005882,3
103,'005301,'201108838,0
104,'005318,'201108838,1
105,'005400,'201401271,0
106,'005417,'201401271,1
107,'005424,'201401271,5
108,'005509,'201401272,0
109,'005516,'201401272,1
110,'005523,'201401272,5
111,'005608,'201401273,0
112,'005615,'201401273,1
113,'005622,'201401273,2
114,'005639,'201401273,3
115,'005707,'201705815,0
116,'005714,'201705815,1
117,'005721,'201705815,5
118,'005806,'201802922,0
119,'005813,'201802922,1
120,'005820,'201802922,5
121,'005905,'201802919,0
122,'005912,'201802919,1
123,'006001,'201905977,0
124,'006018,'201905977,1
125,'006025,'201905977,3
