,0,1,2
0,'000108,'200603941,0
1,'000115,'200603941,1
2,'000207,'199704574,0
3,'000214,'199704574,1
4,'000221,'199704574,1
5,'000306,'199704574,0
6,'000313,'199704574,1
7,'000405,'199704574,0
8,'000412,'199704574,1
9,'000504,'199704574,0
10,'000511,'199704574,1
11,'000528,'199704574,1
12,'000603,'200308012,0
13,'000610,'200308012,1
14,'000627,'200308012,4
15,'000801,'200308012,0
16,'000818,'200308012,1
17,'000900,'200009101,0
18,'000917,'200009101,1
19,'001006,'200308013,0
20,'001013,'200308013,1
21,'001020,'200308013,4
22,'001204,'200308013,0
23,'001211,'200308013,1
24,'001303,'200009102,0
25,'001310,'200009102,1
26,'001402,'200308014,0
27,'001419,'200308014,1
28,'001426,'200308014,4
29,'001600,'200308014,0
30,'001617,'200308014,1
31,'001709,'200009103,0
32,'001716,'200009103,1
33,'001808,'200009104,0
34,'001815,'200009104,1
35,'001822,'200009104,4
36,'001907,'200009104,0
37,'001914,'200009104,1
38,'001921,'200009104,4
39,'002003,'200009104,0
40,'002010,'200009104,1
41,'002027,'200009104,4
42,'002102,'200009104,0
43,'002119,'200009104,1
44,'002126,'200009104,6
45,'002201,'200009104,0
46,'002218,'200009104,1
47,'002225,'200009104,2
48,'002300,'199704572,0
49,'002317,'199704572,1
50,'002409,'199704572,0
51,'002416,'199704572,1
52,'002508,'199704572,0
53,'002515,'199704572,1
54,'002607,'199704572,0
55,'002614,'199704572,1
56,'002706,'200009105,0
57,'002713,'200009105,1
58,'002720,'200009105,4
59,'002805,'200009105,0
60,'002812,'200009105,1
61,'002829,'200009105,4
62,'002904,'200009105,0
63,'002911,'200009105,1
64,'002928,'200009105,4
65,'003000,'200009105,0
66,'003017,'200009105,1
67,'003024,'200009105,6
68,'003109,'200009105,0
69,'003116,'200009105,1
70,'003123,'200009105,2
71,'003208,'199704573,0
72,'003215,'199704573,1
73,'003307,'199704573,0
74,'003314,'199704573,1
75,'003406,'199704573,0
76,'003413,'199704573,1
77,'003505,'199704573,0
78,'003512,'199704573,1
79,'003604,'200009100,0
80,'003611,'200009100,1
81,'003628,'200009100,4
82,'003703,'200009100,0
83,'003710,'200009100,1
84,'003727,'200009100,4
85,'003802,'200009100,0
86,'003819,'200009100,1
87,'003826,'200009100,4
88,'003901,'200009100,0
89,'003918,'200009100,1
90,'003925,'200009100,6
91,'004007,'200009100,0
92,'004014,'200009100,1
93,'004021,'200009100,2
94,'004106,'199704571,0
95,'004113,'199704571,1
96,'004205,'199704571,0
97,'004212,'199704571,1
98,'004304,'199704571,0
99,'004311,'199704571,1
100,'004403,'199704571,0
101,'004410,'199704571,1
102,'004809,'200603941,0
103,'004816,'200603941,1
104,'004823,'200603941,2
105,'005004,'200308382,0
106,'005011,'200308382,1
107,'005103,'200308381,0
108,'005110,'200308381,1
109,'005202,'200308381,0
110,'005219,'200308381,1
111,'005301,'200308381,0
112,'005318,'200308381,1
113,'005400,'200308381,0
114,'005417,'200308381,1
115,'005509,'200308382,0
116,'005516,'200308382,1
117,'005608,'200308382,0
118,'005615,'200308382,1
119,'005707,'200308382,0
120,'005714,'200308382,1
121,'005806,'201103797,0
122,'005813,'201103797,1
123,'005820,'201103797,2
124,'005905,'201103798,0
125,'005912,'201103798,1
126,'005929,'201103798,2
127,'006001,'200308381,0
128,'006018,'200308381,1
129,'006100,'200308382,0
130,'006117,'200308382,1
131,'006209,'201801233,0
132,'006223,'201801233,90
133,'006230,'201801233,30
134,'006308,'201902588,0
135,'006315,'201902588,1
136,'006407,'201902590,0
137,'006414,'201902590,1
138,'006506,'201902589,0
139,'006513,'201902589,1
140,'006605,'201902590,0
141,'006612,'201902590,1
142,'006704,'201902588,0
143,'006711,'201902588,1
144,'006803,'201902589,0
145,'006810,'201902589,1
