,0,1,2
0,'000108,'200410467,0
1,'000115,'200410467,1
2,'000207,'200410468,0
3,'000214,'200410468,1
4,'000306,'200410469,0
5,'000313,'200410469,1
6,'000405,'200511365,0
7,'000412,'200511365,1
8,'000504,'200511364,0
9,'000511,'200511364,1
10,'000603,'200511366,0
11,'000634,'200511366,1
12,'000702,'200410470,0
13,'000719,'200410470,1
14,'000801,'200410465,0
15,'000818,'200410465,1
16,'000900,'200410466,0
17,'000917,'200410466,1
18,'001006,'200709782,0
19,'001013,'200709782,1
20,'001020,'200709782,5
21,'001105,'200709782,0
22,'001112,'200709782,1
23,'001204,'200709782,0
24,'001211,'200709782,1
25,'001303,'200308131,0
26,'001310,'200308131,1
27,'001402,'200308131,0
28,'001419,'200308131,1
29,'001501,'200210369,0
30,'001518,'200210369,1
31,'001600,'200210369,0
32,'001617,'200210369,1
33,'001709,'200210369,0
34,'001716,'200210369,1
35,'001808,'200210369,0
36,'001815,'200210369,1
37,'001907,'200210369,0
38,'001914,'200210369,1
39,'002003,'200210365,0
40,'002010,'200210365,1
41,'002102,'200210365,0
42,'002119,'200210365,1
43,'002201,'200210366,0
44,'002218,'200210366,1
45,'002300,'200210366,0
46,'002317,'200210366,1
47,'002409,'200308130,0
48,'002416,'200308130,1
49,'002508,'200210368,0
50,'002515,'200210368,1
51,'002607,'200210368,0
52,'002614,'200210368,1
53,'002706,'200210364,0
54,'002713,'200210364,1
55,'002805,'200210364,0
56,'002812,'200210364,1
57,'002904,'200210364,0
58,'002911,'200210364,1
59,'003000,'200210364,0
60,'003017,'200210364,1
61,'003109,'200210364,0
62,'003116,'200210364,1
63,'003208,'200210364,0
64,'003215,'200210364,1
65,'003307,'200210367,0
66,'003314,'200210367,1
67,'003406,'200308132,0
68,'003413,'200308132,1
69,'003505,'200308129,0
70,'003512,'200308129,1
71,'003604,'200308129,0
72,'003611,'200308129,1
73,'003703,'200308129,0
74,'003710,'200308129,1
75,'003802,'200308129,0
76,'003819,'200308129,1
77,'003901,'200308129,0
78,'003918,'200308129,1
79,'003925,'200308129,20
80,'004007,'200410461,0
81,'004014,'200410461,1
82,'004106,'200210370,0
83,'004113,'200210370,1
84,'004205,'200210370,0
85,'004212,'200210370,1
86,'004304,'200707111,0
87,'004311,'200707111,1
88,'004403,'200707111,0
89,'004410,'200707111,1
90,'004502,'200707111,0
91,'004519,'200707111,1
92,'004601,'200210371,0
93,'004618,'200210371,1
94,'004700,'200210371,0
95,'004717,'200210371,1
96,'004809,'200308133,0
97,'004816,'200308133,1
98,'004908,'200308135,0
99,'004915,'200308135,1
100,'005004,'200308134,0
101,'005011,'200308134,1
102,'005103,'200410460,0
103,'005110,'200410460,1
104,'005127,'200410460,10
105,'005202,'200308136,0
106,'005219,'200308136,1
107,'005301,'200308137,0
108,'005318,'200308137,1
109,'005400,'200410464,0
110,'005417,'200410464,1
111,'005509,'200410463,0
112,'005516,'200410463,1
113,'005608,'200410462,0
114,'005615,'200410462,1
115,'005707,'200511365,0
116,'005714,'200511365,1
117,'005806,'200511364,0
118,'005813,'200511364,1
119,'005905,'200511364,0
120,'005912,'200511364,1
121,'006001,'200511366,0
122,'006018,'200511366,1
123,'006100,'200410465,0
124,'006117,'200410465,1
125,'006209,'200410466,0
126,'006216,'200410466,1
127,'006308,'200807780,0
128,'006315,'200807780,1
129,'006322,'200807780,5
130,'006407,'200511365,0
131,'006414,'200511365,1
132,'006506,'200707111,0
133,'006513,'200707111,1
134,'006605,'200707111,0
135,'006612,'200707111,1
136,'006704,'200707111,0
137,'006711,'200707111,1
138,'006803,'200903975,0
139,'006810,'200903975,1
140,'006827,'200903975,1
141,'006902,'200903976,0
142,'006919,'200903976,1
143,'006926,'200903976,1
144,'007008,'200707111,0
145,'007015,'200707111,1
146,'007107,'200707111,0
147,'007114,'200707111,1
148,'007206,'200707111,0
149,'007213,'200707111,1
150,'007305,'200210366,0
151,'007404,'200410461,0
152,'007602,'200707111,0
153,'007619,'200707111,1
154,'007701,'200707111,0
155,'007718,'200707111,1
156,'007800,'201005585,0
157,'007817,'201005585,1
158,'007909,'201005585,0
159,'007916,'201005585,1
160,'008005,'201005585,0
161,'008012,'201005585,1
162,'008104,'201101017,0
163,'008111,'201101017,1
164,'008203,'201101016,0
165,'008210,'201101016,1
166,'008227,'201101016,5
167,'008302,'201101017,0
168,'008319,'201101017,1
169,'008401,'201101017,0
170,'008418,'201101017,1
171,'008425,'201101017,10
172,'008500,'201007457,0
173,'008517,'201007457,1
174,'008524,'201007457,1
175,'008531,'201007457,1
176,'008609,'201602414,0
177,'008616,'201602414,1
178,'008623,'201602414,1
179,'008630,'201602414,1
180,'008708,'201602415,0
181,'008715,'201602415,1
182,'008722,'201602415,1
183,'008739,'201602415,1
184,'008746,'201602415,1
185,'008807,'201604120,0
186,'008814,'201604120,1
187,'008821,'201604120,1
188,'008838,'201604120,1
189,'008906,'201604121,0
190,'008913,'201604121,1
191,'008920,'201604121,1
192,'008937,'201604121,1
193,'009002,'201604146,0
194,'009019,'201604146,1
195,'009026,'201604146,1
196,'009033,'201604146,1
