,0,1,2
0,'000102,'201600080,0
1,'000119,'201600080,30
2,'000126,'201600080,300
3,'000201,'201601686,0
4,'000218,'201601686,1
5,'000300,'201601687,0
6,'000317,'201601687,1
7,'000409,'201400868,0
8,'000416,'201400868,30
9,'000423,'201400868,300
10,'000508,'201603481,0
11,'000515,'201603481,30
12,'000522,'201603481,500
13,'000607,'201603496,0
14,'000614,'201603496,30
15,'000706,'201603394,0
16,'000713,'201603394,28
17,'000720,'201603394,100
18,'000805,'201603397,0
19,'000812,'201603397,30
20,'000904,'201603398,0
21,'000911,'201603398,30
22,'001000,'201603494,0
23,'001017,'201603494,60
24,'001109,'201603495,0
25,'001116,'201603495,30
26,'001208,'201603499,0
27,'001215,'201603499,100
28,'001307,'201603498,0
29,'001314,'201603498,100
30,'001406,'201603594,0
31,'001413,'201603594,30
32,'001420,'201603594,100
33,'001505,'201603595,0
34,'001512,'201603595,30
35,'001529,'201603595,100
36,'001604,'201603922,0
37,'001611,'201603922,30
38,'001628,'201603922,100
39,'001703,'201603875,0
40,'001710,'201603875,30
41,'001727,'201603875,100
42,'001802,'201603961,0
43,'001819,'201603961,30
44,'001826,'201603961,100
45,'001901,'201603765,0
46,'001918,'201603765,30
47,'002007,'201603764,0
48,'002014,'201603764,28
49,'002106,'201603869,0
50,'002113,'201603869,30
51,'002205,'201603923,0
52,'002212,'201603923,30
53,'002229,'201603923,500
54,'002304,'201603870,0
55,'002311,'201603870,30
56,'002403,'201603865,0
57,'002410,'201603865,80
58,'002502,'201603878,0
59,'002519,'201603878,30
60,'002601,'201603763,0
61,'002618,'201603763,28
62,'002700,'201603874,0
63,'002717,'201603874,30
64,'002724,'201603874,300
65,'002809,'201603881,0
66,'002816,'201603881,30
67,'002908,'201603867,0
68,'002915,'201603867,30
69,'002922,'201603867,300
70,'003004,'201603880,0
71,'003011,'201603880,30
72,'003103,'201603866,0
73,'003110,'201603866,40
74,'003202,'201604047,0
75,'003219,'201604047,30
76,'003226,'201604047,200
77,'003301,'201604409,0
78,'003318,'201604409,28
79,'003400,'201604411,0
80,'003417,'201604411,28
81,'003509,'201604410,0
82,'003516,'201604410,28
83,'003608,'201604558,0
84,'003615,'201604558,28
85,'003707,'201604557,0
86,'003714,'201604557,28
87,'003806,'201605011,0
88,'003813,'201605011,30
89,'003820,'201605011,90
90,'003837,'201605011,180
91,'003844,'201605011,270
92,'003905,'201605083,0
93,'003912,'201605083,30
94,'003929,'201605083,300
95,'004001,'201405413,0
96,'004018,'201405413,1
97,'004100,'201700413,0
98,'004117,'201700413,30
99,'004124,'201700413,30
100,'004209,'201701113,0
101,'004216,'201701113,1
102,'004223,'201701113,2
103,'004308,'201701432,0
104,'004315,'201701432,30
105,'004407,'201701442,0
106,'004414,'201701442,30
107,'004421,'201701442,500
108,'004506,'201701450,0
109,'004513,'201701450,30
110,'004520,'201701450,100
111,'004605,'201702226,0
112,'004612,'201702226,30
113,'004629,'201702226,30
114,'004704,'201702225,0
115,'004711,'201702225,30
116,'004803,'201706580,0
117,'004810,'201706580,30
118,'004827,'201706580,500
119,'004902,'201706581,0
120,'004919,'201706581,30
121,'004926,'201706581,500
122,'005008,'201706582,0
123,'005015,'201706582,30
124,'005022,'201706582,500
125,'005107,'201706640,0
126,'005114,'201706640,1
127,'005121,'201706640,14
128,'005206,'201706796,0
