,0,1,2
0,'000103,'200100878,0
1,'000110,'200100878,10
2,'000202,'197100079,0
3,'000301,'199700490,0
4,'000318,'199700490,30
5,'000325,'199700490,100
6,'000332,'199700490,30
7,'000349,'199700490,100
8,'000356,'199700490,300
9,'000400,'200308817,0
10,'000509,'199900936,0
11,'000516,'199900936,180
12,'000523,'199900936,180
13,'000530,'199900936,500
14,'000608,'199500275,0
15,'000707,'199800329,0
16,'000806,'199800330,0
17,'000905,'200000494,0
18,'001001,'200000493,0
19,'001018,'200000493,10
20,'001100,'199800354,0
21,'001117,'199800354,1
22,'001124,'199800354,1
23,'001131,'199800354,1
24,'001209,'199900298,0
25,'001308,'200000489,0
26,'001407,'200701026,0
27,'001506,'198400125,0
28,'001605,'199900292,0
29,'001704,'200500978,0
30,'001711,'200500978,90
31,'001803,'199400307,0
32,'001902,'198500172,0
33,'001919,'198500172,10
34,'001926,'198500172,100
35,'002015,'198702371,30
36,'002107,'199800343,0
37,'002206,'199800345,0
38,'002305,'200308599,0
39,'002312,'200308599,90
40,'002404,'199600316,0
41,'002503,'199800355,0
42,'002510,'199800355,1
43,'002527,'199800355,1
44,'002602,'199900954,0
45,'002619,'199900954,10
46,'002626,'199900954,120
47,'002701,'199900968,0
48,'002718,'199900968,10
49,'002725,'199900968,120
50,'002800,'199300385,0
51,'002817,'199300385,30
52,'002824,'199300385,100
53,'002831,'199300385,30
54,'002848,'199300385,100
55,'002855,'199300385,300
56,'002909,'197400186,0
57,'002916,'197400186,1000
58,'003005,'198500528,0
59,'003012,'198500528,1
60,'003029,'198500528,1
61,'003036,'198500528,1
62,'003043,'198500528,1
63,'003050,'198500528,1
64,'003067,'198500528,1
65,'003074,'198500528,1
66,'003081,'198500528,1
67,'003111,'197900201,500
68,'003203,'199500257,0
69,'003302,'200700414,0
70,'003401,'200300712,0
71,'003418,'200300712,90
72,'003500,'197500236,0
73,'003517,'197500236,6
74,'003524,'197500236,6
75,'003609,'199600888,0
76,'003616,'199600888,1
77,'003708,'199300384,0
78,'003715,'199300384,30
79,'003722,'199300384,180
80,'003807,'199700486,0
81,'003906,'199300383,0
82,'004002,'199300382,0
83,'004101,'200401046,0
84,'004200,'199900970,0
85,'004217,'199900970,1
86,'004224,'199900970,1
87,'004231,'199900970,1
88,'004309,'200001331,0
89,'004316,'200001331,1
90,'004408,'199701176,0
91,'004415,'199701176,1
92,'004422,'199701176,1
93,'004507,'199900296,0
94,'004606,'199900297,0
95,'004705,'199900250,0
96,'004804,'199300373,0
97,'004903,'200401039,0
98,'004910,'200401039,60
99,'004927,'200401039,100
100,'005009,'199800305,0
101,'005108,'199900262,0
102,'005207,'199900264,0
103,'005306,'199900263,0
104,'005405,'200200802,0
105,'005504,'199900283,0
106,'005603,'199600319,0
107,'005610,'199600319,30
108,'005627,'199600319,100
109,'005634,'199600319,300
110,'005702,'199900248,0
111,'005719,'199900248,1
112,'005801,'198800285,0
113,'005818,'198800285,1
114,'005825,'198800285,10
115,'005900,'198800270,0
116,'006006,'199800318,0
117,'006105,'199800317,0
118,'006204,'199800325,0
119,'006303,'199800324,0
120,'006310,'199800324,30
121,'006327,'199800324,100
122,'006334,'199800324,300
123,'006402,'199800323,0
124,'006501,'199700463,0
125,'006600,'200100324,0
126,'006709,'200200289,0
127,'006808,'199800348,0
128,'006907,'197500233,0
129,'007003,'199800276,0
130,'007102,'199800338,0
131,'007201,'199800339,0
132,'007300,'198800731,0
133,'007409,'197300128,0
134,'007416,'197300128,10
135,'007423,'197300128,500
136,'007508,'199600872,0
137,'007515,'199600872,1
138,'007522,'199600872,1
139,'007607,'199400306,0
140,'007706,'200200792,0
141,'007713,'200200792,300
142,'007805,'200300739,0
143,'007904,'199701178,0
144,'008000,'200200808,0
145,'008017,'200200808,1
146,'008024,'200200808,1
147,'008109,'200401016,0
148,'008208,'199800297,0
149,'008307,'200200777,0
150,'008314,'200200777,1
151,'008406,'199600894,0
152,'008413,'199600894,1
153,'008420,'199600894,1
154,'008505,'200308600,0
155,'008512,'200308600,1
156,'008529,'200308600,1
157,'008604,'199600328,0
158,'008611,'199600328,100
159,'008628,'199600328,10
160,'008703,'199600327,0
161,'008802,'200500986,0
162,'008819,'200500986,1
163,'008826,'200500986,1
164,'008901,'198100204,0
165,'009007,'199600889,0
166,'009106,'199800328,0
167,'009205,'199700479,0
168,'009212,'199700479,1
169,'009229,'199700479,1
170,'009236,'199700479,1
171,'009243,'199700479,1
172,'009304,'199700477,0
173,'009311,'199700477,100
174,'009328,'199700477,30
175,'009335,'199700477,100
176,'009403,'199700475,0
177,'009410,'199700475,1
178,'009427,'199700475,5
179,'009434,'199700475,10
180,'009502,'199700476,0
181,'009519,'199700476,1
182,'009526,'199700476,5
183,'009533,'199700476,10
184,'009601,'199800322,0
185,'009700,'199800312,0
186,'009717,'199800312,1
187,'009724,'199800312,1
188,'009731,'199800312,1
189,'009748,'199800312,1
190,'009809,'199400329,0
191,'009908,'200600061,0
192,'010003,'199600329,0
193,'010102,'199200352,0
194,'010119,'199200352,1
195,'010126,'199200352,10
196,'010201,'199800357,0
197,'010300,'199800356,0
198,'010409,'199700471,0
199,'010508,'199700472,0
200,'010607,'199600310,0
201,'010706,'200607798,0
