,0,1,2
0,'000101,'199203362,0
1,'000118,'199203362,1
2,'000200,'199304132,0
3,'000217,'199304132,1
4,'000224,'199304132,10
5,'000309,'199304128,0
6,'000316,'199304128,1
7,'000323,'199304128,10
8,'000408,'199203366,0
9,'000415,'199203366,1
10,'000507,'199203366,0
11,'000514,'199203366,1
12,'000606,'200511020,0
13,'000613,'200511020,1
14,'000705,'199203363,0
15,'000712,'199203363,10
16,'000729,'199203363,30
17,'000804,'200307789,0
18,'000811,'200307789,1
19,'000828,'200307789,10
20,'000903,'199304131,0
21,'000910,'199304131,1
22,'000927,'199304131,10
23,'001009,'199203352,0
24,'001016,'199203352,1
25,'001023,'199203352,25
26,'001108,'199203350,0
27,'001115,'199203350,1
28,'001139,'199203350,10
29,'001207,'199504159,0
30,'001214,'199504159,100
31,'001306,'199504160,0
32,'001313,'199504160,100
33,'001405,'199504158,0
34,'001412,'199504158,30
35,'001504,'200008763,0
36,'001511,'200008763,1
37,'001603,'200008761,0
38,'001610,'200008761,1
39,'001702,'200008762,0
40,'001719,'200008762,1
41,'001801,'199203354,0
42,'001818,'199203354,1
43,'001900,'199203365,0
44,'001917,'199203365,30
45,'002006,'199304129,0
46,'002013,'199304129,100
47,'002105,'200704992,0
48,'002112,'200704992,1
49,'002204,'199203360,0
50,'002211,'199203360,1
51,'002228,'199203360,10
52,'002303,'199203359,0
53,'002310,'199203359,1
54,'002327,'199203359,10
55,'002402,'199203364,0
56,'002419,'199203364,1
57,'002426,'199203364,10
58,'002501,'199203357,0
59,'002518,'199203357,100
60,'002525,'199203357,100
61,'002532,'199203357,30
62,'002600,'199604683,0
63,'002617,'199604683,1
64,'002624,'199604683,10
65,'002709,'199806441,0
66,'002716,'199806441,1
67,'002723,'199806441,6
68,'002808,'199604684,0
69,'002815,'199604684,1
70,'002907,'199203348,0
71,'002914,'199203348,100
72,'002921,'199203348,100
73,'002938,'199203348,30
74,'003003,'199203347,0
75,'003010,'199203347,1
76,'003102,'199203347,0
77,'003119,'199203347,1
78,'003201,'199203346,0
79,'003218,'199203346,1
80,'003300,'199203346,0
81,'003317,'199203346,1
82,'003409,'200710715,0
83,'003416,'200710715,100
84,'003508,'199604691,0
85,'003515,'199604691,1
86,'003607,'199604691,0
87,'003614,'199604691,1
88,'003706,'199604691,0
89,'003713,'199604691,1
90,'003805,'200711424,0
91,'003812,'200711424,100
92,'003904,'200711425,0
93,'003911,'200711425,100
94,'004000,'200707282,0
95,'004017,'200707282,100
96,'004109,'200710666,0
97,'004116,'200710666,100
98,'004208,'200707281,0
99,'004215,'200707281,100
100,'004307,'200707280,0
101,'004314,'200707280,100
102,'004406,'200707279,0
103,'004413,'200707279,100
104,'004505,'200710151,0
105,'004512,'200710151,100
106,'004604,'199203344,0
107,'004611,'199203344,100
108,'004628,'199203344,30
109,'004703,'199403106,0
110,'004710,'199403106,100
111,'004727,'199403106,30
112,'004802,'199604688,0
113,'004819,'199604688,1
114,'004901,'199604689,0
115,'004918,'199604689,1
116,'005007,'199203353,0
117,'005014,'199203353,1
118,'005106,'199403105,0
119,'005113,'199403105,1
120,'005205,'199403105,0
121,'005212,'199403105,1
122,'005304,'199806444,0
123,'005311,'199806444,100
124,'005403,'199203349,0
125,'005410,'199203349,100
126,'005502,'200410066,0
127,'005519,'200410066,100
128,'005601,'199203345,0
129,'005618,'199203345,1
130,'005700,'200805688,0
131,'005717,'200805688,1
132,'005809,'200805688,0
133,'005816,'200805688,1
134,'005908,'200805688,0
135,'005915,'200805688,1
136,'006004,'200806188,0
137,'006011,'200806188,28
138,'006103,'200806434,0
139,'006110,'200806434,1
140,'006202,'200806463,0
141,'006226,'200806463,1
142,'006301,'200807519,0
143,'006318,'200807519,1
144,'006400,'200807266,0
145,'006417,'200807266,1
146,'006509,'200704992,0
147,'006516,'200704992,1
148,'006608,'200809404,0
149,'006615,'200809404,40
150,'006707,'200511020,0
151,'006714,'200511020,1
152,'006806,'200511020,0
153,'006813,'200511020,1
154,'006905,'200511020,0
155,'006912,'200511020,1
156,'007001,'199203361,0
157,'007308,'199203339,0
158,'007407,'199203356,0
