,0,1
0,'000101,'198601398
1,'000118,'198601398
2,'000125,'198601398
3,'000132,'198601398
4,'000149,'198601398
5,'000156,'198601398
6,'000163,'198601398
7,'000170,'198601398
8,'000187,'198601398
9,'000194,'198601398
10,'000200,'199903242
11,'000217,'199903242
12,'000224,'199903242
13,'000309,'200403214
14,'000316,'200403214
15,'000323,'200403214
16,'000330,'200403214
17,'000347,'200403214
18,'000354,'200403214
19,'000354,'200403214
20,'000408,'199502365
21,'000415,'199502365
22,'000422,'199502365
23,'000439,'199502365
24,'000446,'199502365
25,'000507,'200103023
26,'000514,'200103023
27,'000521,'200103023
28,'000538,'200103023
29,'000606,'200103022
30,'000613,'200103022
31,'000620,'200103022
32,'000637,'200103022
33,'000644,'200103022
34,'000705,'200403211
35,'000712,'200403211
36,'000729,'200403211
37,'000736,'200403211
38,'000736,'200403211
39,'000743,'200403211
40,'000743,'200403211
41,'000804,'200302156
42,'000811,'200302156
43,'000828,'200302156
44,'000903,'200607020
45,'000903,'200607020
46,'000910,'200607020
47,'000910,'200607020
48,'000927,'200607020
49,'000927,'200607020
50,'000934,'200607020
51,'000934,'200607020
52,'000941,'200607020
53,'000941,'200607020
54,'001009,'198601395
55,'001016,'198601395
56,'001023,'198601395
57,'001030,'198601395
58,'001047,'198601395
59,'001054,'198601395
60,'001061,'198601395
61,'001078,'198601395
62,'001108,'200003826
63,'001115,'200003826
64,'001122,'200003826
65,'001139,'200003826
66,'001146,'200003826
67,'001207,'200403207
68,'001214,'200403207
69,'001221,'200403207
70,'001238,'200403207
71,'001306,'200502646
72,'001313,'200502646
73,'001320,'200502646
74,'001337,'200502646
75,'001344,'200502646
76,'001351,'200502646
77,'001368,'200502646
78,'001405,'198701676
79,'001405,'198701676
80,'001405,'198701676
81,'001405,'198701676
82,'001412,'198701676
83,'001412,'198701676
84,'001412,'198701676
85,'001412,'198701676
86,'001429,'198701676
87,'001429,'198701676
88,'001429,'198701676
89,'001429,'198701676
90,'001504,'200302148
91,'001511,'200302148
92,'001528,'200302148
93,'001603,'200202706
94,'001603,'200202706
95,'001610,'200202706
96,'001627,'200202706
97,'001634,'200202706
98,'001641,'200202706
99,'001702,'200502650
100,'001719,'200502650
101,'001726,'200502650
102,'001733,'200502650
103,'001740,'200502650
104,'001801,'200003828
105,'001818,'200003828
106,'001825,'200003828
107,'001832,'200003828
108,'001849,'200003828
109,'001900,'198902260
110,'001900,'198902260
111,'001900,'198902260
112,'001917,'198902260
113,'001917,'198902260
114,'001917,'198902260
115,'001924,'198902260
116,'001924,'198902260
117,'001924,'198902260
118,'001931,'198902260
119,'001931,'198902260
120,'001931,'198902260
121,'002006,'200003806
122,'002013,'200003806
123,'002020,'200003806
124,'002037,'200003806
125,'002044,'200003806
126,'002051,'200003806
127,'002105,'200003814
128,'002105,'200003814
129,'002112,'200003814
130,'002112,'200003814
131,'002129,'200003814
132,'002129,'200003814
133,'002136,'200003814
134,'002136,'200003814
135,'002143,'200003814
136,'002143,'200003814
137,'002204,'199602668
138,'002211,'199602668
139,'002228,'199602668
140,'002235,'199602668
141,'002303,'199002105
142,'002310,'199002105
143,'002327,'199002105
144,'002402,'199302772
145,'002419,'199302772
146,'002419,'199302772
147,'002419,'199302772
148,'002419,'199302772
149,'002426,'199302772
150,'002426,'199302772
151,'002426,'199302772
152,'002426,'199302772
153,'002433,'199302772
154,'002501,'198401110
155,'002518,'198401110
156,'002525,'198401110
157,'002532,'198401110
158,'002600,'200202705
159,'002600,'200202705
160,'002600,'200202705
161,'002617,'200202705
162,'002617,'200202705
163,'002617,'200202705
164,'002624,'200202705
165,'002624,'200202705
166,'002624,'200202705
167,'002631,'200202705
168,'002631,'200202705
169,'002631,'200202705
170,'002648,'200202705
171,'002648,'200202705
172,'002648,'200202705
173,'002655,'200202705
174,'002662,'200202705
175,'002662,'200202705
176,'002662,'200202705
177,'002679,'200202705
178,'002679,'200202705
179,'002679,'200202705
180,'002709,'200202708
181,'002716,'200202708
182,'002723,'200202708
183,'002730,'200202708
184,'002747,'200202708
185,'002754,'200202708
186,'002761,'200202708
187,'002808,'199002110
188,'002808,'199002110
189,'002815,'199002110
190,'002822,'199002110
191,'002839,'199002110
192,'002846,'199002110
193,'002846,'199002110
194,'002907,'198100577
195,'002914,'198100577
196,'002921,'198100577
197,'003003,'199903243
198,'003003,'199903243
199,'003003,'199903243
200,'003003,'199903243
201,'003010,'199903243
202,'003010,'199903243
203,'003010,'199903243
204,'003010,'199903243
205,'003027,'199903243
206,'003027,'199903243
207,'003027,'199903243
208,'003027,'199903243
209,'003034,'199903243
210,'003034,'199903243
211,'003034,'199903243
212,'003034,'199903243
213,'003041,'199903243
214,'003041,'199903243
215,'003058,'199903243
216,'003058,'199903243
217,'003102,'200103019
218,'003119,'200103019
219,'003126,'200103019
220,'003133,'200103019
221,'003201,'198802482
222,'003218,'198802482
223,'003225,'198802482
224,'003300,'198601396
225,'003317,'198601396
226,'003317,'198601396
227,'003317,'198601396
228,'003317,'198601396
229,'003324,'198601396
230,'003324,'198601396
231,'003324,'198601396
232,'003324,'198601396
233,'003409,'198802479
234,'003416,'198802479
235,'003423,'198802479
236,'003430,'198802479
237,'003447,'198802479
238,'003508,'200202709
239,'003515,'200202709
240,'003522,'200202709
241,'003522,'200202709
242,'003607,'198701673
243,'003614,'198701673
244,'003706,'198301010
245,'003713,'198301010
246,'003720,'198301010
247,'003737,'198301010
248,'003805,'200302151
249,'003812,'200302151
250,'003829,'200302151
251,'003836,'200302151
252,'003843,'200302151
253,'003904,'198802481
254,'003904,'198802481
255,'003904,'198802481
256,'003911,'198802481
257,'003911,'198802481
258,'003911,'198802481
259,'003928,'198802481
260,'003928,'198802481
261,'003928,'198802481
262,'003935,'198802481
263,'003935,'198802481
264,'003935,'198802481
265,'004000,'200103027
266,'004000,'200103027
267,'004017,'200103027
268,'004017,'200103027
269,'004024,'200103027
270,'004024,'200103027
271,'004031,'200103027
272,'004031,'200103027
273,'004048,'200103027
274,'004048,'200103027
275,'004109,'199102563
276,'004116,'199102563
277,'004123,'199102563
278,'004130,'199102563
279,'004208,'197000196
280,'004215,'197000196
281,'004222,'197000196
282,'004239,'197000196
283,'004307,'199002112
284,'004314,'199002112
285,'004321,'199002112
286,'004338,'199002112
287,'004345,'199002112
288,'004406,'199002109
289,'004413,'199002109
290,'004420,'199002109
291,'004437,'199002109
292,'004444,'199002109
293,'004451,'199002109
294,'004451,'199002109
295,'004505,'200103028
296,'004512,'200103028
297,'004604,'200202700
298,'004611,'200202700
299,'004628,'200202700
300,'004703,'200202698
301,'004710,'200202698
302,'004727,'200202698
303,'004734,'200202698
304,'004802,'200502647
305,'004819,'200502647
306,'004826,'200502647
307,'004833,'200502647
308,'004901,'200202704
309,'004901,'200202704
310,'004918,'200202704
311,'004918,'200202704
312,'005007,'198000547
313,'005014,'198000547
314,'005021,'198000547
315,'005038,'198000547
316,'005045,'198000547
317,'005052,'198000547
318,'005106,'199903249
319,'005106,'199903249
320,'005113,'199903249
321,'005113,'199903249
322,'005120,'199903249
323,'005120,'199903249
324,'005137,'199903249
325,'005137,'199903249
326,'005144,'199903249
327,'005144,'199903249
328,'005205,'200202701
329,'005205,'200202701
330,'005212,'200202701
331,'005212,'200202701
332,'005229,'200202701
333,'005229,'200202701
334,'005236,'200202701
335,'005236,'200202701
336,'005304,'199702975
337,'005304,'199702975
338,'005304,'199702975
339,'005311,'199702975
340,'005311,'199702975
341,'005311,'199702975
342,'005328,'199702975
343,'005328,'199702975
344,'005328,'199702975
345,'005335,'199702975
346,'005335,'199702975
347,'005335,'199702975
348,'005342,'199702975
349,'005342,'199702975
350,'005342,'199702975
351,'005359,'199702975
352,'005359,'199702975
353,'005359,'199702975
354,'005403,'200502645
355,'005410,'200502645
356,'005427,'200502645
357,'005434,'200502645
358,'005502,'198701674
359,'005502,'198701674
360,'005502,'198701674
361,'005502,'198701674
362,'005519,'198701674
363,'005519,'198701674
364,'005519,'198701674
365,'005519,'198701674
366,'005526,'198701674
367,'005526,'198701674
368,'005533,'198701674
369,'005700,'200403208
370,'005717,'200403208
371,'005724,'200403208
372,'005731,'200403208
373,'005748,'200403208
374,'005748,'200403208
375,'005809,'199502361
376,'005816,'199502361
377,'005823,'199502361
378,'005830,'199502361
379,'005847,'199502361
380,'005847,'199502361
381,'005908,'200003819
382,'005915,'200003819
383,'005922,'200003819
384,'005939,'200003819
385,'006004,'198902256
386,'006011,'198902256
387,'006028,'198902256
388,'006035,'198902256
389,'006103,'199602665
390,'006103,'199602665
391,'006103,'199602665
392,'006110,'199602665
393,'006110,'199602665
394,'006110,'199602665
395,'006127,'199602665
396,'006127,'199602665
397,'006127,'199602665
398,'006134,'199602665
399,'006134,'199602665
400,'006134,'199602665
401,'006202,'199502356
402,'006202,'199502356
403,'006202,'199502356
404,'006202,'199502356
405,'006202,'199502356
406,'006219,'199502356
407,'006219,'199502356
408,'006219,'199502356
409,'006219,'199502356
410,'006226,'199502356
411,'006226,'199502356
412,'006226,'199502356
413,'006226,'199502356
414,'006233,'199502356
415,'006233,'199502356
416,'006233,'199502356
417,'006240,'199502356
418,'006240,'199502356
419,'006240,'199502356
420,'006301,'199903245
421,'006301,'199903245
422,'006318,'199903245
423,'006325,'199903245
424,'006332,'199903245
425,'006349,'199903245
426,'006356,'199903245
427,'006363,'199903245
428,'006370,'199903245
429,'006387,'199903245
430,'006394,'199903245
431,'006400,'199502362
432,'006400,'199502362
433,'006417,'199502362
434,'006417,'199502362
435,'006424,'199502362
436,'006424,'199502362
437,'006431,'199502362
438,'006431,'199502362
439,'006448,'199502362
440,'006448,'199502362
441,'006509,'198401111
442,'006509,'198401111
443,'006516,'198401111
444,'006516,'198401111
445,'006523,'198401111
446,'006523,'198401111
447,'006530,'198401111
448,'006530,'198401111
449,'006547,'198401111
450,'006547,'198401111
451,'006608,'198701672
452,'006608,'198701672
453,'006608,'198701672
454,'006608,'198701672
455,'006615,'198701672
456,'006615,'198701672
457,'006615,'198701672
458,'006622,'198701672
459,'006622,'198701672
460,'006622,'198701672
461,'006639,'198701672
462,'006639,'198701672
463,'006639,'198701672
464,'006646,'198701672
465,'006646,'198701672
466,'006653,'198701672
467,'006653,'198701672
468,'006707,'199202449
469,'006707,'199202449
470,'006806,'198501404
471,'006806,'198501404
472,'006806,'198501404
473,'006806,'198501404
474,'006806,'198501404
475,'006813,'198501404
476,'006813,'198501404
477,'006813,'198501404
478,'006813,'198501404
479,'006820,'198501404
480,'006820,'198501404
481,'006820,'198501404
482,'006820,'198501404
483,'006837,'198501404
484,'006837,'198501404
485,'006837,'198501404
486,'006837,'198501404
487,'006844,'198501404
488,'006844,'198501404
489,'006844,'198501404
490,'006844,'198501404
491,'006851,'198501404
492,'006851,'198501404
493,'006851,'198501404
494,'006851,'198501404
495,'006868,'198501404
496,'006875,'198501404
497,'006875,'198501404
498,'006875,'198501404
499,'006875,'198501404
500,'006882,'198501404
501,'006882,'198501404
502,'006882,'198501404
503,'006882,'198501404
504,'006899,'198501404
505,'006899,'198501404
506,'006899,'198501404
507,'006905,'199803093
508,'006905,'199803093
509,'006905,'199803093
510,'006905,'199803093
511,'006905,'199803093
512,'006912,'199803093
513,'006912,'199803093
514,'006912,'199803093
515,'006912,'199803093
516,'006929,'199803093
517,'006929,'199803093
518,'006929,'199803093
519,'006929,'199803093
520,'006936,'199803093
521,'006936,'199803093
522,'006936,'199803093
523,'006936,'199803093
524,'006943,'199803093
525,'006943,'199803093
526,'006943,'199803093
527,'007001,'199502358
528,'007001,'199502358
529,'007018,'199502358
530,'007018,'199502358
531,'007025,'199502358
532,'007025,'199502358
533,'007032,'199502358
534,'007049,'199502358
535,'007049,'199502358
536,'007100,'199702974
537,'007100,'199702974
538,'007100,'199702974
539,'007100,'199702974
540,'007117,'199702974
541,'007117,'199702974
542,'007117,'199702974
543,'007124,'199702974
544,'007124,'199702974
545,'007124,'199702974
546,'007131,'199702974
547,'007131,'199702974
548,'007131,'199702974
549,'007148,'199702974
550,'007148,'199702974
551,'007148,'199702974
552,'007155,'199702974
553,'007155,'199702974
554,'007162,'199702974
555,'007162,'199702974
556,'007209,'199903238
557,'007308,'198601389
558,'007308,'198601389
559,'007308,'198601389
560,'007308,'198601389
561,'007308,'198601389
562,'007315,'198601389
563,'007315,'198601389
564,'007315,'198601389
565,'007315,'198601389
566,'007322,'198601389
567,'007322,'198601389
568,'007322,'198601389
569,'007322,'198601389
570,'007339,'198601389
571,'007339,'198601389
572,'007339,'198601389
573,'007339,'198601389
574,'007346,'198601389
575,'007346,'198601389
576,'007353,'198601389
577,'007353,'198601389
578,'007360,'198601389
579,'007360,'198601389
580,'007407,'200103020
581,'007414,'200103020
582,'007421,'200103020
583,'007506,'199803095
584,'007506,'199803095
585,'007506,'199803095
586,'007506,'199803095
587,'007513,'199803095
588,'007513,'199803095
589,'007513,'199803095
590,'007520,'199803095
591,'007520,'199803095
592,'007520,'199803095
593,'007537,'199803095
594,'007537,'199803095
595,'007537,'199803095
596,'007544,'199803095
597,'007544,'199803095
598,'007544,'199803095
599,'007551,'199803095
600,'007551,'199803095
601,'007568,'199803095
602,'007568,'199803095
603,'007575,'199803095
604,'007575,'199803095
605,'007582,'199803095
606,'007582,'199803095
607,'007599,'199803095
608,'007599,'199803095
609,'007605,'200502649
610,'007605,'200502649
611,'007605,'200502649
612,'007605,'200502649
613,'007612,'200502649
614,'007612,'200502649
615,'007612,'200502649
616,'007629,'200502649
617,'007629,'200502649
618,'007629,'200502649
619,'007636,'200502649
620,'007636,'200502649
621,'007636,'200502649
622,'007643,'200502649
623,'007643,'200502649
624,'007643,'200502649
625,'007650,'200502649
626,'007650,'200502649
627,'007650,'200502649
628,'007667,'200502649
629,'007667,'200502649
630,'007667,'200502649
631,'007704,'200103029
632,'007711,'200103029
633,'007728,'200103029
634,'007735,'200103029
635,'007803,'200403209
636,'007810,'200403209
637,'007827,'200403209
638,'007834,'200403209
639,'007902,'199002107
640,'007902,'199002107
641,'007902,'199002107
642,'007902,'199002107
643,'007919,'199002107
644,'007919,'199002107
645,'007919,'199002107
