,0,1
0,'000100,'200200835
1,'000117,'200200835
2,'000209,'200700540
3,'000216,'200700540
4,'000308,'200700540
5,'000315,'200700540
6,'000407,'200700540
7,'000414,'200700540
8,'000421,'200700540
9,'000506,'200700540
10,'000513,'200700540
11,'000605,'200700540
12,'000612,'200700540
13,'000629,'200700540
14,'000803,'200700540
15,'000810,'200700540
16,'000827,'200700540
17,'000902,'200700540
18,'000919,'200600224
19,'000926,'200600224
20,'001008,'200600224
21,'001015,'200600224
22,'001107,'200600224
23,'001114,'200600224
24,'001206,'200600224
25,'001213,'200600224
26,'001305,'200600224
27,'001312,'200611005
28,'001404,'200611005
29,'001411,'200611005
30,'001503,'200611005
31,'001510,'200611005
32,'001602,'200611005
33,'001619,'200611005
34,'001701,'200611005
35,'001718,'200611005
36,'001725,'199100983
37,'001732,'199100983
