,0,1,2
0,'000102,'200109568,0
1,'000119,'200109568,1
2,'000201,'200109569,0
3,'000218,'200109569,1
4,'000300,'200109567,0
5,'000317,'200109567,1
6,'000409,'200109570,0
7,'000416,'200109570,1
8,'000508,'200210301,0
9,'000515,'200210301,1
10,'000607,'200210302,0
11,'000614,'200210302,1
12,'000621,'200210302,100
13,'000706,'200308069,0
14,'000713,'200308069,1
15,'000720,'200308069,100
16,'000805,'200805302,0
17,'000812,'200805302,1
18,'000904,'200904508,0
19,'000911,'200904508,1
20,'001000,'201112321,0
21,'001017,'201112321,1
22,'001109,'201201554,0
23,'001116,'201201554,1
24,'001123,'201201554,30
25,'001208,'201402263,0
26,'001215,'201402263,1
27,'001307,'201504267,0
28,'001314,'201504267,1
29,'001406,'199203288,0
30,'001413,'199203288,1
31,'001505,'200109135,0
32,'001512,'200109135,1
33,'001604,'199907094,0
34,'001611,'199907094,1
35,'001703,'199504275,0
36,'001710,'199504275,1
37,'001802,'199604930,0
38,'001819,'199604930,1
39,'001901,'201004551,0
40,'001918,'201004551,1
41,'001925,'201004551,60
42,'002007,'201700375,0
43,'002014,'201700375,1
44,'002106,'201700508,0
45,'002113,'201700508,1
46,'002205,'201701102,0
47,'002212,'201701102,1
48,'002304,'201701327,0
49,'002311,'201701327,1
50,'002328,'201701327,30
51,'002403,'201701484,0
52,'002410,'201701484,1
53,'002502,'201702196,0
54,'002519,'201702196,1
55,'002601,'201702197,0
56,'002618,'201702197,1
57,'002700,'200210302,0
58,'002717,'200210302,1
59,'002724,'200210302,100
60,'002809,'200308069,0
61,'002816,'200308069,1
62,'002823,'200308069,100
63,'002908,'201704746,0
64,'002915,'201704746,1
